organizator;inn_organizatora;inn_primechanie;predmet;summa;data_publikacii;data_konca_priema;status;tip_procedury;sekciya;reestrovyy_nomer;okpd2;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"Филиал ""Калининградская ТЭЦ-2"" Акционерного общества ""Интер РАО – Электрогенерация""";7704784450;;Запасные части к воздуходувке для Калининградской ТЭЦ-2;101199.36 ₽;2024-02-28;2024-03-18;Архив;Ценовой запрос (с закрытыми ценами);market;656350;29.32.30.390,25.93.16.110,28.23.25.000;https://www.tektorg.ru/market/procedures/10443326;воздуходувка;да;воздуходувка;
ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;;поставка запасных частей для воздуходувки GM80L AERZEN;НМЦ не установлена;2024-02-27;2024-03-06;Работа комиссии;Запрос предоставления ценовой информации;zakupki;ЗП4022544;;https://www.tektorg.ru/223-fz/procedures/10422365;воздуходувка;да;воздуходувка;
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" КРАСНОАРМЕЙСКОГО РАЙОНА";2336001098;;Поставка оборудования (воздуходувка вихревая)  для очистных сооружений;427774.92 ₽;2024-02-26;2024-03-04;Архив;Запрос котировок;zakupki;ЗП4022360;28.13.27.000;https://www.tektorg.ru/223-fz/procedures/10419694;воздуходувка;да;воздуходувка;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;Запрос ценовой информации в электронной форме (ЗЦИ АРХ-15-2024) для определения начальной (максимальной) цены договора на выполнение  по ремонту и диагностике ступеней сжатия воздуходувки пневмообмыва ледокола «Диксон» Архангельского филиала ФГУП «Росморпорт»;НМЦ не установлена;2024-02-09;2024-02-16;Архив;Запрос предоставления ценовой информации;zakupki/rosmorport_zakupki;ЗП402843;33.12.22.000;https://www.tektorg.ru/223-fz/procedures/10233251;воздуходувка;да;воздуходувка;
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""ЧУВАШСКИЙ ГОСУДАРСТВЕННЫЙ ТЕАТР ОПЕРЫ И БАЛЕТА"" МИНИСТЕРСТВА КУЛЬТУРЫ, ПО ДЕЛАМ НАЦИОНАЛЬНОСТЕЙ И АРХИВНОГО ДЕЛА ЧУВАШСКОЙ РЕСПУБЛИКИ";2129017283;;Поставка товара надлежащего качества (воздуходувка бензиновая);12794 ₽;2024-02-07;2024-02-12;Архив;Ценовой запрос;market;646126;28.24.12.190;https://www.tektorg.ru/market/procedures/10192629;воздуходувка;нет;воздуходувка;ручной инструмент
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""";7712040285;;Салфетка для сушки авто, Телескопическая щетка, Тент, Флейцевая кисть, Плоская кисть, Аккумуляторная воздуходувка-пылесос, Экран, Досмотровое устройство, Тележка;НМЦ не установлена;2023-12-05;2023-12-11;Работа комиссии;Ценовой запрос;market;615399;13.95.10.190;https://www.tektorg.ru/market/procedures/9743232;воздуходувка;нет;воздуходувка;ручной инструмент
"Филиал ""Калининградская ТЭЦ-2"" Акционерного общества ""Интер РАО – Электрогенерация""";7704784450;;Воздуходувка аккумуляторная для Прегольской ТЭС;19766.67 ₽;2023-11-24;2023-12-05;Архив;Ценовой запрос (с закрытыми ценами);market;610569;28.24.11.000;https://www.tektorg.ru/market/procedures/9622975;воздуходувка;нет;воздуходувка;ручной инструмент
Сызранский нефтеперерабатывающий завод;6325004584;;Оборудование для кондиционеров и вентиляции;361003.64 ₽;2023-07-31;2023-11-29;Отменён;Запрос предложений;sale/vitrine;ПИ307492;;https://www.tektorg.ru/sale/procedures/8477010;воздуходувка;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКАЯ ИНТЕРНЕТ КОМПАНИЯ""";7708119944;;"8-09.23 Садовый инструмент б/у (ООО ""РН-Информ"")";120800 ₽;2023-10-03;2023-11-07;Архив;Запрос предложений;sale/vitrine;ПИ309450;;https://www.tektorg.ru/sale/procedures/9087607;воздуходувка;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ АВИА""";;нет в словаре площадки;Реализация пневмоангара и оборудования;4632891.6 ₽;2023-09-26;2023-11-01;Архив;Запрос предложений;sale/vitrine;ПИ308634;;https://www.tektorg.ru/sale/procedures/8763164;воздуходувка;нет;;
Государственное бюджетное  общеобразовательное  учреждение «Санаторная школа-интернат имени генерал-майора Михаила Сандровича Бароева»;1512010444;;Поставка  воздуходувки-измельчителя;14600 ₽;2023-10-25;2023-11-01;Архив;Закупка малого объема;market;594865;28.25.14.110;https://www.tektorg.ru/market/procedures/9282409;воздуходувка;да;воздуходувка;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД ИМЕНИ М.И.КАЛИНИНА, Г. ЕКАТЕРИНБУРГ""";6663003800;;Поставка воздуходувки бензиновой;НМЦ не установлена;2023-06-27;2023-08-31;Архив;Ценовой запрос;market;539389;28.24.12.190;https://www.tektorg.ru/market/procedures/8156856;воздуходувка;нет;воздуходувка;ручной инструмент
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКАЯ ИНТЕРНЕТ КОМПАНИЯ""";7708119944;;9-07.23 Садовый инструмент б/у (ООО «РН-Информ»);113600 ₽;2023-07-14;2023-08-10;Архив;Запрос предложений;sale/vitrine;ПИ307104;;https://www.tektorg.ru/sale/procedures/8325685;воздуходувка;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";1435335477;;Поставка воздуходувки;50000 ₽;2023-07-27;2023-08-07;Архив;Электронный аукцион;44fz;0816500000623014634;;https://www.tektorg.ru/44-fz/procedures/8434888;воздуходувка;да;воздуходувка;
ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;;294-ЗК(ЭЛ)(СМП) Поставка воздуходувки вихревой;146832 ₽;2023-07-13;2023-07-26;Архив;Запрос котировок;zakupki;ЗП307882;28.13.28.000;https://www.tektorg.ru/223-fz/procedures/8314535;воздуходувка;да;воздуходувка;
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""КУЛЬТУРНО-ДОСУГОВАЯ СИСТЕМА""";7107515485;;Поставка бензотримеров, воздуходувок, мобильных кондиционеров;188226 ₽;2023-06-30;2023-07-10;Архив;Аукцион;zakupki;ЗП3062909;28.30.40.000;https://www.tektorg.ru/223-fz/procedures/8193067;воздуходувка;да;воздуходувка;
ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;;поставка воздуходувки;НМЦ не установлена;2023-06-02;2023-06-08;Работа комиссии;Запрос предоставления ценовой информации;zakupki;ЗП306139;;https://www.tektorg.ru/223-fz/procedures/8080349;воздуходувка;да;воздуходувка;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ПОБЕДА"" ФТС РОССИИ""";2319027603;;"Приобретение оборудования (воздуходувка вихревая) в филиал ""Лесная сказка""";183593.33 ₽;2023-05-15;2023-05-24;Архив;Электронный аукцион;44fz;0318100058623000224;28.13.12.190;https://www.tektorg.ru/44-fz/procedures/7960448;воздуходувка;да;воздуходувка;
АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;2460071692;;ЭА-№-7177/23 «Поставка установки лесопожарной ранцевой (воздуходувки)»;384000 ₽;2023-05-02;2023-05-12;Архив;Электронный аукцион;44fz;0119200000123006879;28.29.22.190;https://www.tektorg.ru/44-fz/procedures/7836107;воздуходувка;нет;воздуходувка;ручной инструмент
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;Поставка воздуходувок 20/30В-2N(p) для цеха №5 ПАО «Славнефть-ЯНОС»;НМЦ не установлена;2023-03-27;2023-05-03;Архив;Запрос предложений;zakupki;ЗП3032529;;https://www.tektorg.ru/223-fz/procedures/7409453;воздуходувка;да;воздуходувка;
ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;;107-ЗК(ЭЛ) Поставка запасных частей для воздуходувки GM80L AERZEN;4059280.62 ₽;2023-04-18;2023-04-26;Архив;Запрос котировок;zakupki;ЗП3041662;28.13.32.120;https://www.tektorg.ru/223-fz/procedures/7682496;воздуходувка;да;воздуходувка;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРО-ЗАПАДНЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР КОНЦЕРНА ВКО ""АЛМАЗ-АНТЕЙ""- ОБУХОВСКИЙ ЗАВОД""";7811144648;;Пылесос-воздуходувка бензиновый садовый DABL 300 DAEWOO;НМЦ не установлена;2023-04-19;2023-04-24;Работа комиссии;Ценовой запрос;market;507048;28.24.11.000;https://www.tektorg.ru/market/procedures/7700055;воздуходувка;нет;воздуходувка;ручной инструмент
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ ""ПРОГРЕСС"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2319023221;;"Поставка воздуходувок аккумуляторных с ранцевыми аккумуляторами для ФКУЗ ""Санаторий ""Прогресс"" МВД России"" в 2023 году";177606.66 ₽;2023-04-14;2023-04-24;Архив;Электронный аукцион;44fz;0318100060723000088;28.24.11.000;https://www.tektorg.ru/44-fz/procedures/7625183;воздуходувка;нет;воздуходувка;ручной инструмент
"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""МАРИИНСКО-ПОСАДСКАЯ РАЙОННАЯ СТАНЦИЯ ПО БОРЬБЕ С БОЛЕЗНЯМИ ЖИВОТНЫХ"" ГОСУДАРСТВЕННОЙ ВЕТЕРИНАРНОЙ СЛУЖБЫ ЧУВАШСКОЙ РЕСПУБЛИКИ";2111006844;;Опрыскиватель-воздуходувка ранцевый бензиновый;19778 ₽;2023-04-05;2023-04-10;Архив;Ценовой запрос;market;498990;28.29.22.120;https://www.tektorg.ru/market/procedures/7531973;воздуходувка;нет;воздуходувка;ручной инструмент
"Филиал ""Калининградская ТЭЦ-2"" Акционерного общества ""Интер РАО – Электрогенерация""";7704784450;;Воздуходувка аккумуляторная для Прегольской ТЭС;НМЦ не установлена;2023-02-22;2023-03-22;Архив;Ценовой запрос (с закрытыми ценами);market;477775;28.24.11.000;https://www.tektorg.ru/market/procedures/7123567;воздуходувка;нет;воздуходувка;ручной инструмент
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";1435335477;;Поставка воздуходувок;497099.97 ₽;2023-02-22;2023-03-09;Архив;Электронный аукцион;44fz;0816500000623002213;28.29.22.120;https://www.tektorg.ru/44-fz/procedures/7121289;воздуходувка;да;воздуходувка;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""";7712040285;;Головки ударные, Кабелерез, Гайковерт, Держатель магнитный, Воздуходувка, Домкрат, Струбцина, Зубило;НМЦ не установлена;2023-01-17;2023-01-23;Работа комиссии;Ценовой запрос;market;455602;46.73.16.000;https://www.tektorg.ru/market/procedures/6688762;воздуходувка;да;воздуходувка;
АДМИНИСТРАЦИЯ ПАВЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА НИЖЕГОРОДСКОЙ ОБЛАСТИ;5252046517;;Поставка бензиновых воздуходувок и газонокосилок;174326.69 ₽;2022-11-15;2022-11-23;Архив;Электронный аукцион;44fz;0132600007222000262;28.30.40.000;https://www.tektorg.ru/44-fz/procedures/5935589;воздуходувка;нет;воздуходувка;ручной инструмент
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРИБОРОСТРОЕНИЯ""";7717693545;;Запасные части и комплектующие техники: Воздушный фильтр для воздуходувки Husqvarna;НМЦ не установлена;2022-11-07;2022-11-10;Отменён;Ценовой запрос;market;423104;29.10.59.130;https://www.tektorg.ru/market/procedures/5854767;воздуходувка;да;воздуходувка;
УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;7202203221;;Поставка ранцевой воздуходувки лесопожарной.;2268000 ₽;2022-10-28;2022-11-09;Архив;Электронный аукцион;44fz;0167200003422007239;28.29.22.190;https://www.tektorg.ru/44-fz/procedures/5749708;воздуходувка;нет;воздуходувка;ручной инструмент
ОКРУЖНАЯ АДМИНИСТРАЦИЯ ГОРОДА ЯКУТСКА;;нет в словаре площадки;Поставка перфоратора, мотокосы, шуруповерта, электролобзика, воздуходувки;156940.66 ₽;2022-10-27;2022-11-07;Архив;Электронный аукцион;44fz;0116300000122001121;28.30.86.120;https://www.tektorg.ru/44-fz/procedures/5727017;воздуходувка;да;воздуходувка;
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;"Поставка воздуходувок 20B-2N, 20В-2Np, 30В-2N для цеха №5 ПАО ""Славнефть-ЯНОС""";НМЦ не установлена;2022-09-21;2022-10-20;Отменён;Запрос предложений;zakupki;ЗП2091355;;https://www.tektorg.ru/223-fz/procedures/5323605;воздуходувка;да;воздуходувка;
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;Поставка воздуходувок установки производства серы Комплекса глубокой переработки нефти;НМЦ не установлена;2022-08-09;2022-09-23;Отменён;Запрос предложений;zakupki;ЗП208592;;https://www.tektorg.ru/223-fz/procedures/4867023;воздуходувка;да;воздуходувка;
"АО ""ГПТП ""Гранит""";7731263174;;Поставка воздуходувки;НМЦ не установлена;2022-09-15;2022-09-23;Работа комиссии;Ценовой запрос;market;399203;28.99.39.190;https://www.tektorg.ru/market/procedures/5264411;воздуходувка;да;воздуходувка;
УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;7202203221;;Поставка ранцевой воздуходувки лесопожарной.;2785500 ₽;2022-09-13;2022-09-22;Архив;Электронный аукцион;44fz;0167200003422005846;28.29.22.190;https://www.tektorg.ru/44-fz/procedures/5238435;воздуходувка;нет;воздуходувка;ручной инструмент
"Филиал ""Калининградская ТЭЦ-2"" Акционерного общества ""Интер РАО – Электрогенерация""";7704784450;;Запасные части к воздуходувке для Калининградской ТЭЦ-2;НМЦ не установлена;2022-03-10;2022-09-09;Архив;Ценовой запрос (с закрытыми ценами);market;307725;29.32.30.390;https://www.tektorg.ru/market/procedures/2973989;воздуходувка;да;воздуходувка;
"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕСПУБЛИКАНСКИЙ ДЕТСКИЙ САНАТОРИЙ ""ЛЕСНАЯ СКАЗКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ЧУВАШСКОЙ РЕСПУБЛИКИ";2112001790;;Поставка кустореза и бензиновой  воздуходувки измельчителя;60204 ₽;2022-08-26;2022-08-30;Архив;Ценовой запрос;market;390548;28.99.39.190;https://www.tektorg.ru/market/procedures/5046366;воздуходувка;нет;воздуходувка;ручной инструмент
"АО ""ГПТП ""Гранит""";7731263174;;Поставка воздуходувки;НМЦ не установлена;2022-07-29;2022-08-08;Работа комиссии;Ценовой запрос;market;377681;28.99.39.190;https://www.tektorg.ru/market/procedures/4754579;воздуходувка;да;воздуходувка;
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АГИДЕЛЬВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН";0253019901;;Поставка турбокомпрессорной воздуходувки;1833333.33 ₽;2022-07-06;2022-07-14;Архив;Электронный аукцион;44fz;0600600026822000002;28.13.25.000;https://www.tektorg.ru/44-fz/procedures/4521486;воздуходувка+компрессор+турбокомпрессор;да;"турбокомпрессор; воздуходувка";
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;"202309_Приобретение воздуходувки для нужд ХЦ Уфимской ТЭЦ-2 филиала ООО ""БГК""";1822506.46 ₽;2022-04-28;2022-05-16;Архив;Конкурс;interrao;ИР204462;28.25.12.190;https://www.tektorg.ru/inter_rao/procedures/3668212;воздуходувка;да;воздуходувка;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКИЕ РАСПРЕДЕЛИТЕЛЬНЫЕ ТЕПЛОВЫЕ СЕТИ""";;нет в словаре площадки;Приобретение воздуходувок;НМЦ не установлена;2022-04-22;2022-04-25;Архив;Ценовой запрос;market;332190;28.99.39.190;https://www.tektorg.ru/market/procedures/3573910;воздуходувка;да;воздуходувка;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРИБОРОСТРОЕНИЯ""";7717693545;;Запасные части и комплектующие для воздуходувки и газонокосилки Husqvarna;НМЦ не установлена;2022-04-01;2022-04-05;Архив;Ценовой запрос;market;320704;19.20.29.119;https://www.tektorg.ru/market/procedures/3282860;воздуходувка;да;воздуходувка;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ВОЗДУШНО-КОСМИЧЕСКОЙ ОБОРОНЫ ""АЛМАЗ - АНТЕЙ""";7731084175;;Воздуходувка, перфоратор аккумуляторные;НМЦ не установлена;2022-03-14;2022-03-17;Архив;Ценовой запрос;market;309097;28.99.39.190;https://www.tektorg.ru/market/procedures/3036346;воздуходувка;нет;воздуходувка;ручной инструмент
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;"выполнение работ по ремонту демонтированной (разобранной) воздуходувки № 4 (компрессора ПОУ) для ледокола ""Диксон"".";НМЦ не установлена;2022-03-01;2022-03-09;Архив;Ценовой запрос;market/rosmorport_kim;303547;33.12.19.000;https://www.tektorg.ru/market/procedures/2836067;воздуходувка+компрессор;да;воздуходувка;
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;Закупка запасных частей к воздуходувкам для нужд ПАО «Славнефть-ЯНОС»;НМЦ не установлена;2021-11-09;2021-11-23;Архив;Запрос предложений;zakupki;ЗП111283;28.13.32.130;https://www.tektorg.ru/223-fz/procedures/1649394;воздуходувка;да;воздуходувка;
АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;2460071692;;ЭА-№-15097/21 «Поставка пылесоса уличного (воздуходувка-пылесос)»;74214 ₽;2021-11-02;2021-11-16;Архив;Аукцион;44fz;0119200000121014776;28.24.12.190;https://www.tektorg.ru/44-fz/procedures/1636028;воздуходувка;нет;воздуходувка;ручной инструмент
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;"Поставка воздуходувки К-133 для УПСК и РОСК ПАО ""Славнефть-ЯНОС""";НМЦ не установлена;2021-08-25;2021-10-18;Архив;Запрос предложений;zakupki;ЗП108939;28.13.28.000;https://www.tektorg.ru/223-fz/procedures/1169235;воздуходувка;да;воздуходувка;
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  «СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 37 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ»  города ЧЕБОКСАРЫ Чувашской  Республики;2128019471;;Закупка воздуходувки;17420 ₽;2021-09-22;2021-09-27;Архив;Ценовой запрос;market;234024;28.99.39.190;https://www.tektorg.ru/market/procedures/1379501;воздуходувка;да;воздуходувка;
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  «СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 37 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ»  города ЧЕБОКСАРЫ Чувашской  Республики;2128019471;;Закупка воздуходувки;20640 ₽;2021-09-18;2021-09-22;Отменён;Ценовой запрос;market;232326;28.99.39.190;https://www.tektorg.ru/market/procedures/1355032;воздуходувка;да;воздуходувка;
"Акционерное общество ""Интер РАО – Электрогенерация""";7704784450;;Модернизация оборудования воздуходувной станции с заменой воздуходувки №1 для Верхнетагильской ГРЭС в 2021 году;2648571 ₽;2021-09-07;2021-09-15;Архив;Запрос предложений;interrao;ИР109122;43.29.19.190;https://www.tektorg.ru/inter_rao/procedures/1270988;воздуходувка+воздуходувная;да;воздуходувка;
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;"Поставка газодувок и воздуходувок для установки УПС цеха №5 ПАО ""Славнефть-ЯНОС""";НМЦ не установлена;2021-07-07;2021-08-13;Архив;Запрос предложений;zakupki;ЗП107203;28.13.28.000;https://www.tektorg.ru/223-fz/procedures/815960;воздуходувка;да;воздуходувка;
АДМИНИСТРАЦИЯ ГОРОДА БЕРЕЗНИКИ;5911000244;;Поставка пылесоса-воздуходувки;12133.34 ₽;2021-07-06;2021-07-19;Архив;Аукцион;44fz;0156300046621000345;28.99.39.190;https://www.tektorg.ru/44-fz/procedures/802157;воздуходувка;нет;воздуходувка;ручной инструмент
АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;2460071692;;ЭА-№-8657-21 «Поставка с доставкой газонокосилки и воздуходувки для нужд КГКУ «ТИЦ»;120530.99 ₽;2021-06-24;2021-07-06;Архив;Аукцион;44fz;0119200000121007902;28.30.86.120;https://www.tektorg.ru/44-fz/procedures/774636;воздуходувка;да;воздуходувка;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЭВЕРЕСТ""";2617010041;;Поставка воздуходувки электрической;5484.78 ₽;2021-06-24;2021-07-02;Архив;Запрос котировок в электронной форме;44fz;0321100002421000093;28.13.28.000;https://www.tektorg.ru/44-fz/procedures/775439;воздуходувка;да;воздуходувка;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЭРОФЛОТ-РОССИЙСКИЕ АВИАЛИНИИ""";;нет в словаре площадки;Термовоздуходувка Steinel HG - 5000 E;302663.52 ₽;2021-06-10;2021-06-15;Архив;Ценовой запрос;market;189635;28.24.11.000;https://www.tektorg.ru/market/procedures/752802;воздуходувка;да;воздуходувка;
"Акционерное общество ""Интер РАО – Электрогенерация""";7704784450;;Модернизация оборудования воздуходувной станции с заменой воздуходувки №1 для Верхнетагильской ГРЭС в 2021 году;1526388 ₽;2021-02-24;2021-04-06;Архив;Запрос предложений;interrao;ИР102720;43.29.19.190;https://www.tektorg.ru/inter_rao/procedures/631715;воздуходувка+воздуходувная;да;воздуходувка;
"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕЛИКОЛУКСКИЙ МЯСОКОМБИНАТ""";6025009824;;Вихревая воздуходувка ERSTEVAK;НМЦ не установлена;2021-03-18;2021-03-31;Отменён;Запрос предложений;zakupki;ЗП131054;28.13.28.000;https://www.tektorg.ru/223-fz/procedures/654644;воздуходувка;да;воздуходувка;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;"ДБФ ЦЗ №149491 Поставка воздуходувок для нужд Дальневосточного бассейнового филиала ФГУП ""Росморпорт""";НМЦ не установлена;2021-03-04;2021-03-12;Архив;Ценовой запрос;market/rosmorport_kim;149491;28.99.39.190;https://www.tektorg.ru/market/procedures/639475;воздуходувка;да;воздуходувка;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""";7712040285;;Вихревая воздуходувка;НМЦ не установлена;2020-12-22;2020-12-24;Отменён;Ценовой запрос;market;127022;28.13.27;https://www.tektorg.ru/market/procedures/580363;воздуходувка;да;воздуходувка;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;"ДБФ ЦЗ №86628 Поставка воздуходувок для нужд Дальневосточного бассейнового филиала ФГУП ""Росморпорт""";НМЦ не установлена;2020-08-20;2020-08-28;Архив;Ценовой запрос;market/rosmorport_kim;86628;28.99.39.190;https://www.tektorg.ru/market/procedures/474595;воздуходувка;да;воздуходувка;
