inn;predpriyatie;company_id;procedure_id;nomer;predmet;vid;sekciya;summa;data;stadiya;ssylka
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;755517;32211453254;"Выполнение работ по техническому обслуживанию и планово-предупредительному ремонту систем противопожарной защиты для нужд ООО ""Газпром добыча Оренбург"" в 2023 году для нужд ООО «Газпром добыча Оренбург» № 0095/22/2.1/0054569/ДОренбург/К/ГОС/Э/07.06.2022";закупка;Закупки ГК «Газпром»;28006052.28;2022-06-07;completed;https://etpgpb.ru/procedure/tender/gaz/183255-vypolnenie-rabot-po-tehnicheskomu-obsluzhivaniyu-i-planovo-predupreditelnomu-remontu-sistem-protivopozharnoy-zaschity-dlya-nuzhd-oo
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;756016;315100;Поставка средств для очистки воды в бассейнах;закупка;Торговый портал;707437.44;2022-06-08;completed;https://etpgpb.ru/procedure/tender/price_request/315100-postavka-sredstv-dlya-ochistki-vody-v-basseynah/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;756078;32211455732;Выполнение строительно-монтажных работ по объекту «Автомобильная заправочная станция (а/к №10 с. Октябрьское)» для нужд ООО «Газпром добыча Оренбург» № 0095/22/1.5/0055377/ДОренбург/К/ГОС/Э/08.06.2022;закупка;Закупки ГК «Газпром»;50392200.0;2022-06-08;completed;https://etpgpb.ru/procedure/tender/gaz/183304-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-avtomobilnaya-zapravochnaya-stantsiya-a-k-10-s-oktyabrskoe-dlya-nuzhd-ooo-gazprom-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;756107;316731;Поставка гербицида;закупка;Торговый портал;524700.0;2022-06-08;completed;https://etpgpb.ru/procedure/tender/price_request/316731-postavka-gerbitsida/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;756170;317178;Поставка полиграфической продукции;закупка;Торговый портал;1054605.38;2022-06-08;completed;https://etpgpb.ru/procedure/tender/price_request/317178-postavka-poligraficheskoy-produktsii/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;756329;32211456603;"Выполнение строительно-монтажных работ по объекту «Пост аккумулирования газа с участком ТО и ТР ГБО цех № 3 УТТиСТ» 
для нужд ООО ""Газпром добыча Оренбург""  № 0095/22/1.5/0055378/ДОренбург/К/ГОС/Э/08.06.2022";закупка;Закупки ГК «Газпром»;63649803.6;2022-06-08;completed;https://etpgpb.ru/procedure/tender/gaz/183319-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-post-akkumulirovaniya-gaza-s-uchastkom-to-i-tr-gbo-tseh-3-uttist-dlya-nuzhd-ooo-ga
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;757548;32211462112;"Поставка электрогенерирующего оборудования для пополнения аварийного запаса для нужд ООО ""Газпром добыча Оренбург"" 0026/22/4.3/0049986/ДОренбург/К/ГОС/Э/10.06.2022";закупка;Закупки ГК «Газпром»;5684700.0;2022-06-10;completed;https://etpgpb.ru/procedure/tender/gaz/183443-postavka-elektrogeneriruyuschego-oborudovaniya-dlya-popolneniya-avariynogo-zapasa-dlya-nuzhd-ooo-gazprom-dobycha-orenburg-0026-22-4
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;758245;308967;Поставка отвода ОГ 32°-720x18 для сред с Н2S;закупка;Торговый портал;887142.0;2022-06-10;completed;https://etpgpb.ru/procedure/tender/price_request/308967-postavka-otvoda-og-32-gradusov-720x18-dlya-sred-s-n2s/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;759349;314740;Поставка ЗИП к газоанализаторам;закупка;Торговый портал;286483.1;2022-06-15;completed;https://etpgpb.ru/procedure/tender/price_request/314740-postavka-zip-k-gazoanalizatoram/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;760954;32211478057;"Поставка контрольно-измерительных приборов для нужд ООО ""Газпром добыча Оренбург"" для субъектов СМСП
0026/22/4.3/0058326/ДОренбург/ПР/ГОС/Э/17.06.2022";закупка;Закупки ГК «Газпром»;3086597.36;2022-06-17;completed;https://etpgpb.ru/procedure/tender/gaz/183724-postavka-kontrolno-izmeritelnyh-priborov-dlya-nuzhd-ooo-gazprom-dobycha-orenburg-dlya-subektov-smsp-0026-22-4-3-0058326-dorenburg-p
