inn;zakazchik;mashin_vsego;mashin_istekaet;prioritet;istochnik_kartochki
2315072242;"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";2;0;2;https://monitor-pb.ru/customer/2315072242
9102048801;"ГУП РК ""ЧЕРНОМОРНЕФТЕГАЗ""";2;0;2;https://monitor-pb.ru/customer/9102048801
5243000185;"ЗАО ""Арзамасский хлеб""";2;0;2;https://monitor-pb.ru/customer/5243000185
5614014942;"ЗАО ""ЗСС""";2;0;2;https://monitor-pb.ru/customer/5614014942
3128033189;"ЗАО ""Комбинат хлебопродуктов Старооскольский""";2;0;2;https://monitor-pb.ru/customer/3128033189
344603855649;ИП Семигук Юлия Александровна;2;0;2;https://monitor-pb.ru/customer/344603855649
3232000609;"ОАО ""Бежицкий хлебокомбинат""";2;0;2;https://monitor-pb.ru/customer/3232000609
4202004414;"ОАО ЦОФ ""Беловская""";2;0;2;https://monitor-pb.ru/customer/4202004414
5501177142;"ООО ""ГАЗПРОМНЕФТЬ - КС""";2;0;2;https://monitor-pb.ru/customer/5501177142
3328465940;"ООО ""КОМПЛЕКСНЫЕ ИНЖЕНЕРНЫЕ СИСТЕМЫ"" (ИНН 3328465940)";2;0;2;https://monitor-pb.ru/customer/3328465940
5902201970;"ООО ""ЛУКОЙЛ-ПЕРМЬ""";2;0;2;https://monitor-pb.ru/customer/5902201970
4217196807;"ООО ""МЕЛЬКОМБИНАТ В СОКОЛЬНИКАХ""";2;0;2;https://monitor-pb.ru/customer/4217196807
5214009264;"ООО ""МК ""Володарский""";2;0;2;https://monitor-pb.ru/customer/5214009264
4202050996;"ООО ""ММК-УГОЛЬ""";2;0;2;https://monitor-pb.ru/customer/4202050996
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";2;0;2;https://monitor-pb.ru/customer/2457061920
8603138726;"ООО ""Нижневартовский ГПК""";2;0;2;https://monitor-pb.ru/customer/8603138726
8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""";2;0;2;https://monitor-pb.ru/customer/8604035473
5614085615;"ООО ""СИНТЕЗСПИРТ""";2;0;2;https://monitor-pb.ru/customer/5614085615
4212002310;"ООО ""Сиб-Дамель""";2;0;2;https://monitor-pb.ru/customer/4212002310
7718220196;"ООО ""ТОРГ-ИНВЕСТ""";2;0;2;https://monitor-pb.ru/customer/7718220196
4028026750;"ООО ""Холодильник""";2;0;2;https://monitor-pb.ru/customer/4028026750
4230020425;"ООО ""Юргинский машиностроительный завод""";2;0;2;https://monitor-pb.ru/customer/4230020425
7104002774;"ПАО ""КМЗ"" (ИНН 7104002774)";2;0;2;https://monitor-pb.ru/customer/7104002774
7718117872;"ПАО ""РУССКИЙ ПРОДУКТ""";2;0;2;https://monitor-pb.ru/customer/7718117872
1831034040;"ПАО ""УДМУРТНЕФТЬ"" ИМ. В.И. КУДИНОВА";2;0;2;https://monitor-pb.ru/customer/1831034040
5911029807;"ПАО ""УРАЛКАЛИЙ""";2;0;2;https://monitor-pb.ru/customer/5911029807
1433000147;"АК ""АЛРОСА"" (ПАО)";1;0;1;https://monitor-pb.ru/customer/1433000147
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";1;0;1;https://monitor-pb.ru/customer/3435900563
1434031364;"АО ""ДГК"" (ИНН 1434031364)";1;0;1;https://monitor-pb.ru/customer/1434031364
4630001280;"АО ""ККХП""";1;0;1;https://monitor-pb.ru/customer/4630001280
3623004866;"АО ""КМЗ"" (ИНН 3623004866)";1;0;1;https://monitor-pb.ru/customer/3623004866
6320004615;"АО ""КРАЙ КАРАВАЙ""";1;0;1;https://monitor-pb.ru/customer/6320004615
4200000333;"АО ""КУЗБАССЭНЕРГО""";1;0;1;https://monitor-pb.ru/customer/4200000333
3111505362;"АО ""ЛИВЕНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";1;0;1;https://monitor-pb.ru/customer/3111505362
7438015885;"АО ""МАКФА""";1;0;1;https://monitor-pb.ru/customer/7438015885
1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА""";1;0;1;https://monitor-pb.ru/customer/1660016351
7504001084;"АО ""НОВО-ШИРОКИНСКИЙ РУДНИК""";1;0;1;https://monitor-pb.ru/customer/7504001084
4218014305;"АО ""ОФ ""АНТОНОВСКАЯ""";1;0;1;https://monitor-pb.ru/customer/4218014305
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";1;0;1;https://monitor-pb.ru/customer/6627001318
1657036630;"АО ""ТАТЭНЕРГО""";1;0;1;https://monitor-pb.ru/customer/1657036630
1655189422;"АО ""ТГК-16""";1;0;1;https://monitor-pb.ru/customer/1655189422
1903021363;"АО ""УК ""РАЗРЕЗ СТЕПНОЙ""";1;0;1;https://monitor-pb.ru/customer/1903021363
4250005979;"АО ""УК ""СЕВЕРНЫЙ КУЗБАСС""";1;0;1;https://monitor-pb.ru/customer/4250005979
3528191736;"АО ""ФосАгро-Череповец""";1;0;1;https://monitor-pb.ru/customer/3528191736
3652001387;"АО МЭЗ ""ЛИСКИНСКИЙ""";1;0;1;https://monitor-pb.ru/customer/3652001387
6628008965;"ЗАО ""ПО ""Режникель""";1;0;1;https://monitor-pb.ru/customer/6628008965
5044018861;"ЗАО ""ФЕРРЕРО РУССИЯ""";1;0;1;https://monitor-pb.ru/customer/5044018861
6378003182;"ЗАО ""ХИМСИНТЕЗ""";1;0;1;https://monitor-pb.ru/customer/6378003182
5403100293;"МОАО ""Авангард""";1;0;1;https://monitor-pb.ru/customer/5403100293
1316105019;"ОАО ""АПО Элеком""";1;0;1;https://monitor-pb.ru/customer/1316105019
2211005435;"ОАО ""Алтайский Химпром""";1;0;1;https://monitor-pb.ru/customer/2211005435
6617002344;"ОАО ""БРУ""";1;0;1;https://monitor-pb.ru/customer/6617002344
4612001551;"ОАО ""Лукашевское ХПП""";1;0;1;https://monitor-pb.ru/customer/4612001551
2302016730;"ОАО ""Масложиркомбинат""Армавирский""""";1;0;1;https://monitor-pb.ru/customer/2302016730
5905021239;"ОАО ""Минеральные удобрения""";1;0;1;https://monitor-pb.ru/customer/5905021239
7705033216;"ОАО ""РОТ ФРОНТ""";1;0;1;https://monitor-pb.ru/customer/7705033216
8912001990;"ОАО ""Севернефтегазпром""";1;0;1;https://monitor-pb.ru/customer/8912001990
3302000186;"ОАО ВКХ ""Мукомол""";1;0;1;https://monitor-pb.ru/customer/3302000186
1659032038;"ОАО""КЗСК""";1;0;1;https://monitor-pb.ru/customer/1659032038
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";1;0;1;https://monitor-pb.ru/customer/3808229774
5003028155;"ООО ""ГАЗПРОМ ВНИИГАЗ""";1;0;1;https://monitor-pb.ru/customer/5003028155
5906156140;"ООО ""ГСПГТ ПЕРМЬ""";1;0;1;https://monitor-pb.ru/customer/5906156140
9308017740;"ООО ""ДМЗ"" (ИНН 9308017740)";1;0;1;https://monitor-pb.ru/customer/9308017740
3456004455;"ООО ""ДЭМЗ""";1;0;1;https://monitor-pb.ru/customer/3456004455
5911066005;"ООО ""ЕВРОХИМ - УКК""";1;0;1;https://monitor-pb.ru/customer/5911066005
2605013094;"ООО ""ЗАМАН""";1;0;1;https://monitor-pb.ru/customer/2605013094
6829007922;"ООО ""ЗОЛОТАЯ НИВА"" (ИНН 6829007922)";1;0;1;https://monitor-pb.ru/customer/6829007922
5260123469;"ООО ""Завод синтанолов""";1;0;1;https://monitor-pb.ru/customer/5260123469
2326008425;"ООО ""КДВ КРАСНОДАР""";1;0;1;https://monitor-pb.ru/customer/2326008425
3414504304;"ООО ""ЛУКОЙЛ-КГПЗ""";1;0;1;https://monitor-pb.ru/customer/3414504304
1627005000;"ООО ""МЕНДЕЛЕЕВСКАЗОТ""";1;0;1;https://monitor-pb.ru/customer/1627005000
7734353570;"ООО ""МФ""";1;0;1;https://monitor-pb.ru/customer/7734353570
6900008846;"ООО ""Мелькомбинат""";1;0;1;https://monitor-pb.ru/customer/6900008846
7729134774;"ООО ""ПЕНТА-91""";1;0;1;https://monitor-pb.ru/customer/7729134774
7116019123;"ООО ""ПОЛИПЛАСТ НОВОМОСКОВСК""";1;0;1;https://monitor-pb.ru/customer/7116019123
4707020432;"ООО ""ПОРТЭНЕРГО""";1;0;1;https://monitor-pb.ru/customer/4707020432
7705014478;"ООО ""ПРОВИМИ""";1;0;1;https://monitor-pb.ru/customer/7705014478
6827016382;"ООО ""СКХ"" (ИНН 6827016382)";1;0;1;https://monitor-pb.ru/customer/6827016382
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат""";1;0;1;https://monitor-pb.ru/customer/7733338555
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";1;0;1;https://monitor-pb.ru/customer/6803629911
6730000614;"ООО ""ТАУ-С""";1;0;1;https://monitor-pb.ru/customer/6730000614
3623007578;"ООО ""ТД КМЗ""";1;0;1;https://monitor-pb.ru/customer/3623007578
0269034133;"ООО ""Туймазинское ГПП""";1;0;1;https://monitor-pb.ru/customer/0269034133
7810356819;"ООО ""ХЛЕБНЫЙ ДОМ""";1;0;1;https://monitor-pb.ru/customer/7810356819
7802831436;"ООО ""ХОППИ ЮНИОН""";1;0;1;https://monitor-pb.ru/customer/7802831436
7814116254;"ООО НПФ ""ЭНТЕХМАШ""";1;0;1;https://monitor-pb.ru/customer/7814116254
4246004250;"ООО ОФ ""Анжерская""";1;0;1;https://monitor-pb.ru/customer/4246004250
9309010650;"ООО ЦОФ ""ДОНЕЦКАЯ""";1;0;1;https://monitor-pb.ru/customer/9309010650
6632004667;"ПАО ""Надеждинский металлургический завод""";1;0;1;https://monitor-pb.ru/customer/6632004667
0273008320;"ПАО ""ОДК-УМПО""";1;0;1;https://monitor-pb.ru/customer/0273008320
7449006730;"ПАО ""Челябинский трубопрокатный завод""";1;0;1;https://monitor-pb.ru/customer/7449006730
3102003214;"СПК  ""Колхоз имени  Горина";1;0;1;https://monitor-pb.ru/customer/3102003214
