inn;predpriyatie;nomer;predmet;zakazchik;summa;data;stadiya;ssylka
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009064860;Выполнение работ по реконструкции объекта: «Водопpоводные сети по ул. 30 лет Победы мкрн. 33», участок водовода от ВК ул. Быстринская до точки врезки по ул. 30 лет Победы;;;;;https://www.roseltorg.ru/procedure/32009064860/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009064860;32009064860 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009064860/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009042232;Поставка спецодежды;;;;;https://www.roseltorg.ru/procedure/32009042232/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009042232;32009042232 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009042232/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009021627;"Выполнение работ по капитальному ремонту изоляции фильтров и технологических трубопроводов станции обезжелезивания в/забора 9А п/у на объектах ""Фильтр-песочный № 1, 2, 3, 4, 5""";;;;;https://www.roseltorg.ru/procedure/32009021627/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009021627;32009021627 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009021627/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32008853404;Оказание услуг по проведению углубленных периодических медицинских осмотров работников предприятия, занятых на работах с вредными и опасными производственными факторами;;;;;https://www.roseltorg.ru/procedure/32008853404/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32008853404;32008853404 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32008853404/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32616215878;Выполнение работ по внедрению системы стабилизации химического состава питьевой воды на водозаборе: Станция водоочистки В-1800», инвентарный номер 10129;;;;;https://www.roseltorg.ru/procedure/32616215878/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32616215878;32616215878 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32616215878/1
