inn;predpriyatie;zapros;zapros_slabyy;vsego_po_schetchiku;nomer;nazvanie;izobretateli;imya_v_citate;privyazka;citata;ssylka
4217168581;АЦ Гермес (ГКК);Гермес;;82;RU2550346C2;НОВЫЕ ХИМИЧЕСКИЕ СОЕДИНЕНИЯ (ВАРИАНТЫ) И ИХ ПРИМЕНЕНИЕ ДЛЯ ЛЕЧЕНИЯ ОНКОЛОГИЧЕСКИХ ЗАБОЛЕВАНИЙ;Чилов Гермес Григорьевич, Строганов Олег Валентинович, Стройлов Виктор Сергеевич, Новиков Федор Николаевич, Зейфман Алексей Александрович, Титов Илья Юрьевич;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/RU2550346C2
4217168581;АЦ Гермес (ГКК);Гермес;;82;SU1738465A1;Способ изготовления кольцевых поковок из полых слитков;Лысенков Борис Егорович, Чебыкин Юрий Васильевич, Сотников Николай Иванович, Котунов Владимир Федорович, Уваров Юрий Александрович, Мирхасанов Вадим Сабирзянович;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU1738465A1
4217168581;АЦ Гермес (ГКК);Гермес;;82;SU1636566A2;Способ разгрузки энергоблоков;Аракелян Эдик Койрунович, Сантурян Гермес Рубенович, Оганесян Полак Рафаэлович, Татикян Сурен Шагенович, Петросян Грагат Саакович;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU1636566A2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2376072C2;"ФОРСУНКА "" ЗИМА """;Миняйло Александр Максимович, Зиновьев Евгений Григорьевич;;упоминание в тексте, патентообладатель не проверен;приводит к зарастанию проходных отверстий, особенно при низких температурах окружающей среды, например, зимой . Задача, решаемая изобретением, заключается в увеличении диапазона регулирования расхода жидкости;https://patenton.ru/patent/RU2376072C2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2124048C1;"ВОДКА ""РУССКАЯ ЗИМА """;Новосельцев Геннадий Тимофеевич, Ахметханов Салимхан Миннеханович, Исламов Рустам Анварович, Мустаев Рим Абударович;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/RU2124048C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU122354A1;Способ укрывки виноградников на зиму;Гячев Л.В.;;упоминание в тексте, патентообладатель не проверен;Недостатки существующих способов укрывки виноградников на зиму состоят в том, что при осуществлении их наносятся значительные повреждения корневой системе виноградных кустов применяемыми укрывными корпусами;https://patenton.ru/patent/SU122354A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU88810A1;Способ утепления почвы зимой;Волков П.С.;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU88810A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU38622A1;СПОСОБ СУШКИ ТОРФА ЗИМОЙ;Иерусалимский Д.Н.;;упоминание в тексте, патентообладатель не проверен;только летом, когда торфяные массивы под влиянием тепла и солнца оттаивают после зимы , превращаясь в губку, напитанную водой. Зимой ни торфодобыча, ни сушка не производятся, так как торфяная масса замерзает;https://patenton.ru/patent/SU38622A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU793525A1;Способ сохранения пчелинойМАТКи зиМОй;Агафонов Алексей Михайлович;;упоминание в тексте, патентообладатель не проверен;состоянием мякронуклеусов и для частой смены в них пчел свиты. Отбор пчел от основных семей среди зимы для смены пчел в микронуклеусах беспокоит основные семьи, что порождает сомнение в полезности содержания;https://patenton.ru/patent/SU793525A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU340075A1;ШИРОТНО-ИМПУЛЬСНЫЙ МОДУЛЯТОР;;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU340075A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU191705A1;МАШИНА ДЛЯ КОНТАКТНОЙ ТОЧЕЧНОЙ СВАРКИ КОНВЕКТОРОВ;;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU191705A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU906481A1;Смесь для опрыскивания розы перед укрытием на зиму;Горленко Софья Владимировна, Подобная Надежда Андреевна;;упоминание в тексте, патентообладатель не проверен;применяется при норме расхода 6-18 кг/гаD1.Известна также смесь для опрыскивания розы перед укрытием на зиму , содержащая дефолиант дебос и воду 2.Однако известная смесь обладает недостаточной дефолииоующей активностью;https://patenton.ru/patent/SU906481A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2081582C1;СРЕДСТВО ПОВЫШЕНИЯ ЗИМО -МОРОЗОСТОЙКОСТИ РАСТЕНИЙ;Корзинников Ю.С., Крылов С.В., Гоголева Г.А., Корнеев Т.Г., Деменко В.И., Черняев Н.Г., Баранова Н.Д., Рощупкина М.Г., Дьяков В.М., Голоулина Л.К.;;упоминание в тексте, патентообладатель не проверен;счет увеличения количества перезимовавших растений. На таких разных объектах, как саженцы яблони и зимующие растения озимого ячменя, показана эффективность применения ХММДЭС с целью повышения зимоморозостойкости;https://patenton.ru/patent/RU2081582C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1773972A1;Устройство для рыбозащиты в акватории карьера зимой;Рощупкин Дмитрий Васильевич;;упоминание в тексте, патентообладатель не проверен;"изображено устройство для рыбозащиты в акватории карьера зимой , поперечный разрез; на фиг.2 - то же, вид сверху.Устройство для рыбозащиты в акватории карьера зимой включает газовыпускной патрубок 1, установленный";https://patenton.ru/patent/SU1773972A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2308562C2;СПОСОБ ОБРАЗОВАНИЯ МОСТОВОЙ ПЕРЕПРАВЫ ЗИМОЙ;Малышев Александр Алексеевич, Хмелюк Петр Сергеевич;;упоминание в тексте, патентообладатель не проверен;конкретно к образованию переправ из понтонных мостов.Известен способ образования мостовой переправы зимой (см. Наставление для инженерных войск. Тяжелый понтонный парк ТПП. Воениздат, 1955 г., с.174), включающий;https://patenton.ru/patent/RU2308562C2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2543920C1;ТОПЛИВНЫЙ БАК ДЛЯ РАБОТЫ ДИЗЕЛЯ ЗИМОЙ;Петрашев Александр Иванович, Зазуля Александр Николаевич, Петров Михаил Владимирович, Сарычев Алексей Александрович;;упоминание в тексте, патентообладатель не проверен;средств, может быть использовано для облегчения их запуска и работы на дизельном и биодизельном топливе зимой в условиях низкой температуры. Известен бак системы топливоподачи дизельного двигателя (см. патент;https://patenton.ru/patent/RU2543920C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2724492C1;Способ контроля скопления зимующих пчел;Рыбочкин Анатолий Федорович, Бондарь Олег Григорьевич, Окулов Николай Васильевич;;упоминание в тексте, патентообладатель не проверен;интерполирования), что позволяет по распределению температурных полей в объёме улья визуализировать скопление зимующих пчёл. Известен способ контроля количества пчёл в ульях в пассивный период их жизнедеятельности;https://patenton.ru/patent/RU2724492C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2727919C1;Способ контроля скопления зимующих пчел;Рыбочкин Анатолий Федорович, Бондарь Олег Григорьевич;;упоминание в тексте, патентообладатель не проверен;интерполированием), что позволяет по распределению температурных полей в объеме улья визуализировать скопление зимующих пчел.Известен способ контроля количества пчел в ульях в пассивный период их жизнедеятельности (Патент;https://patenton.ru/patent/RU2727919C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1760005A1;Способ строительства дренажа из полимерных труб зимой;Миронов Василий Иванович, Бредихин Николай Николаевич, Повалихин Игорь Михайлович, Шамаров Алексей Васильевич, Фисенко Александр Иванович;;упоминание в тексте, патентообладатель не проверен;"нагревательной камеры.На фиг.1 показана схема осуществления -способа строительства дренажа из полимерных труб зимой , вид в плане; на фиг.2 - то же, сечение Б-Б на фиг.1; на фиг.З - сечение А-А на фиг, 1; на фиг.4 -";https://patenton.ru/patent/SU1760005A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1517846A1;Способ оценки состояния зимующих растений клевера;Смурыгин Митрофан Андреевич, Бражникова Таиса Стефановна;;упоминание в тексте, патентообладатель не проверен;"содержаниесахарозы по Ьергранч (миК(К)и 1о.: i i ;;ПОЛЬЗ ЮТ этот 1И) ГС. ib .Ь Я ЛИ.И;), I Mi состояния зимующих :jCleHiiM. .уровень содержания саха);).1ы и rr-icfihr перезимовки связан прямой л,н иисимость о";https://patenton.ru/patent/SU1517846A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2679054C2;Способ профилактики голодания зимующих семей пчел;Сотников Анатолий Николаевич, Гулюкин Михаил Иванович, Лучко Михаил Александрович, Володько Дмитрий Владиславович, Стаффорд Виктория Васильевна;;упоминание в тексте, патентообладатель не проверен;25-100%, является актуальной проблемой. Предлагаемый способ диагностики и профилактики голодания зимующих пчел обеспечит высокую сохранность и нормальное физиологическое состояние семей пчел во время зимовки;https://patenton.ru/patent/RU2679054C2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1454310A1;Способ определения реакции зимующих растений на действие оттепелей;Щербинин Александр Анатольевич, Лобанов Эрнст Михайлович, Козеев Евгений Викторович, Бухтияров Иван Дмитриевич;;упоминание в тексте, патентообладатель не проверен;ном состоянии - НТЭГ. НТЭГ представляют собой серию из нескольких остро-Способ определения реакции зимую - коквчных экзотерм, возникаищих при -- щих растений на действие оттепелей, температурах, вызывающих;https://patenton.ru/patent/SU1454310A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1553039A1;Способ контроля жизнеспособности зимующих пчел по состоянию ректума;Еськов Евгений Константинович, Бабкина Наталья Григорьевна, Харченко Григорий Иванович;;упоминание в тексте, патентообладатель не проверен;содержимого, поСпособ контроля жизнеспособности 5 которой судят о жизнеспособности зимующих пчел по состоянию ректума, зимующих пчел. Изобретение относится к пчеловодству. Целью изобретения является повышение;https://patenton.ru/patent/SU1553039A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2142036C1;СПОСОБ ПОДГОТОВКИ ДРЕНОУКЛАДЧИКА К ПРОДОЛЖЕНИЮ СТРОИТЕЛЬСТВА ДРЕНАЖА ЗИМОЙ;Миронов В.И.;;упоминание в тексте, патентообладатель не проверен;слишком слаб. Цель изобретения - обеспечение возможности продолжения процесса строительства дренажа зимой путем оттайки рабочего оборудования дреноукладчика в траншее. Поставленная цель достигается тем, что;https://patenton.ru/patent/RU2142036C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2113792C1;СПОСОБ ЗАЩИТЫ ЗИМУЮЩИХ РАСТЕНИЙ, В ЧАСТНОСТИ МОРКОВИ, ОТ ВЫМЕРЗАНИЯ;Корзинников Ю.С., Чернышев Е.А., Лудилов В.А., Шайманов А.А., Литовкин А.А., Голубев В.Н.;;упоминание в тексте, патентообладатель не проверен;хлорметилсилатран (мивал) - 20 Оксиалкиленорганосилоксановый блоксополимер (БС) - 20 Известен способ защиты зимующих растений, в частности моркови, от вымерзания путем их обработки в период вегетации водными растворами;https://patenton.ru/patent/RU2113792C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2759519C1;Устройство каркасного укрытия для растений в зиму и способ его изготовления;Баймастрюк Александр Игоревич;;упоминание в тексте, патентообладатель не проверен;саженцев теплолюбивых растений и т.п.Уровень техникиИзвестно устройство каркасного укрытия для растений в зиму (Зимний домик https://udsezon.ru/ukrytie-dlia-roz-zimnii-domik), включающее каркас из металлических;https://patenton.ru/patent/RU2759519C1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2680080C2;СПОСОБ И СОСТАВ ДЛЯ ОБЕСПЫЛИВАНИЯ;Зим Данило, Гомез Фабио Пейксото Македо;;упоминание в тексте, патентообладатель не проверен;известных до даты заявленного изобретения, также возникает ряд проблем при использовании их в условиях зимы , из-за которых их применение усложняется и становится потенциально неэффективным. Это происходит вследствие;https://patenton.ru/patent/RU2680080C2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1583531A1;Способ рыбозащиты карьера в загазованном водоеме зимой и устройство для его осуществления;Рощупкин Дмитрий Васильевич;;упоминание в тексте, патентообладатель не проверен;"рыбозащиты i карьера в загазованном водоеме зимой , поперечный разрез; на фиг„2 - то же, 1вид сверху.Устройство для рыбозащиты карьера в загазованном водоеме зимой включает размещенный у дна 1 водоема 2 газовыпускной";https://patenton.ru/patent/SU1583531A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU169158A1;СПОСОБ ПОЛУЧЕНИЯ ИНГИБИТОРА КОРРОз;;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU169158A1
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;SU1558293A3;Кристаллизатор для непрерывного вертикального литья стальной ленты;Ханс Штройбель;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU1558293A3
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2470018C2;НОВЫЕ ПРОИЗВОДНЫЕ ПИРОКАТЕХИНА;Зедельмайер Готтфрид, Небель Курт, Венстра Зим Якоб, Зергени Янош;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/RU2470018C2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2795928C2;НОВАЯ ФАРМАЦЕВТИЧЕСКАЯ КОМПОЗИЦИЯ ТАМСУЛОЗИНА И ДУТАСТЕРИДА;Дауд, Анвар, Ачлия, Гириш, Маски, Нитин, Уодле, Шашикант;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/RU2795928C2
4217191333;ЗИМ (ГКК);ЗИМ (ГКК);1;5445;RU2839277C1;НОВАЯ КОМПОЗИЦИЯ ЗАМЕДЛЕННОГО ВЫСВОБОЖДЕНИЯ ТОФАЦИТИНИБА, ЕГО ПРОИЗВОДНЫХ И СОЛЕЙ;Дауд, Анвар, Майнде, Чандрашекхар, Кедар, Уттам, Гангават, Кулдип;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/RU2839277C1
4220020218;ТопПром;ТопПром;;2;SU1321881A2;Беспоплавковый карбюратор;Лысенков Валерий Александрович, Рогозин Николай Михайлович;;упоминание в тексте, патентообладатель не проверен;со стороны каналов 10 и 12 малого и полного газа соответственно.Наполнительный канал 16 соединяет топПри работе на режимах средних нагрузок с увеличением разрежения в камере 5 регулятора подачи топлива;https://patenton.ru/patent/SU1321881A2
4220020218;ТопПром;ТопПром;;2;RU2783821C1;Водно-дисперсионная краска с защитными свойствами против бактерий, вирусов и грибков;Вольфсон Михаил Александрович, Шифрин Григорий Александрович, Дыбаль Дарья Алексеевна, Никитина Елизавета Андреевна;;упоминание в тексте, патентообладатель не проверен;детских и образовательных учреждениях.Уровень техники.Из уровня техники известна краска TopPro Synergy ( ТопПро Синергия). Профессиональное воднодисперсионное шелковисто-матовое антибактериальное и антигрибковое;https://patenton.ru/patent/RU2783821C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU300364A1;САМОРАЗГРУЖАЮЩАЯСЯ ВАГОНЕТКА;;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU300364A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU1016523A1;Щитовая крепь;Черемнов Вениамин Иванович, Файнер Илья Абрамович, Дорохин Валентин Михайлович, Мосунов Юрий Яковлевич, Вежнин Александр Григорьевич, Микеладзе Алексей Семенович;;упоминание в тексте, патентообладатель не проверен;;https://patenton.ru/patent/SU1016523A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU607981A1;Способ разработки мощных крутых угольных пластов;Томашевский Людвиг Павлович, Милованов Иван Борисович, Воротняк Михаил Васильевич, Зайвенко Николай Иванович, Боголюбов Владимир Александрович, Марчуков Владимир Ильич;1;упоминание в тексте, патентообладатель не проверен;Кузнецкого бассейна. Прокопьевск, 1975.2.Инструкция по применению системы КГП на шахтах комбината Прокопьевскуголь , Прокопьевск, 1972.W,9/tTVuz.2tPu&.i-5S .ffl//9 .7;https://patenton.ru/patent/SU607981A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU934040A1;Тампонажный раствор;Томашевский Людвиг Павлович, Болдин Виктор Михайлович, Боровиков Петр Алексеевич, Кривощекова Нонна Павловна, Федорова Галина Григорьевна, Вин Леня Рувимовна, Прудникова Нина Николаевна, Кошелева Ирина Федоровна, Прохоревич Лариса Дмитриевна;1;упоминание в тексте, патентообладатель не проверен;диэтиленгликолем, для опытно-промышленных испытаний ее в подземных условиях на шахте «Коксовая Прокопьевскуголь . Формула изобретения Тампонажный раствор для упрочнения трещиноватого горного массива, включающий;https://patenton.ru/patent/SU934040A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU875098A1;Способ предупреждения эндогенных пожаров в действующих выемочных полях;Игишев Виктор Григорьевич, Петренко Виктор Иванович, Троян Николай Петрович;1;упоминание в тексте, патентообладатель не проверен;предупреждения эндогенных пождров был проверен на шахте Центральная производственного объединения Прокопьевскуголь . С этой целью было вскрыто для доработки после тушения эндоген 8 ного пожара выемочное поле;https://patenton.ru/patent/SU875098A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU810991A1;Способ определения в угольномплАСТЕ учАСТКОВ, СКлОННыХ КдиНАМичЕСКиМ и гАзОдиНАМичЕСКиМяВлЕНияМ;Акиньшин Борис Тихонович, Петухов Игнатий Макарович;1;упоминание в тексте, патентообладатель не проверен;график 2 - в закрытом эксикаторе при 95-98%. Известный способТУ внутренний.Шахта «Ноградская, « Прокопьевскуголь 2i-fi параллельный штрек гор. - 4iOi м (глубина 320 л)Предлагаемый способМощный,Шахта «Коксовая;https://patenton.ru/patent/SU810991A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2553701C1;ТЮБИНГОВАЯ КРЕПЬ ДЛЯ ВОССТАЮЩИХ ВЫРАБОТОК;Сухоруков Владимир Афанасьевич, Фрянов Виктор Николаевич, Сухоруков Владислав Владимирович, Шенгерей Евгений Борисович;1;упоминание в тексте, патентообладатель не проверен;использовать. Этот недостаток устранен в металлических тюбингах. На шахте им. Дзержинского НПО « Прокопьевскуголь » были проведены промышленные испытания экспериментального образца установки УВТ-1800 и серийно;https://patenton.ru/patent/RU2553701C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;SU1160048A1;Способ контроля за ходом тушения эндогенного пожара в угольной шахте;Зырянов Ким Васильевич, Галицкая Анна Ивановна, Пробст Иосиф Иосифович;1;упоминание в тексте, патентообладатель не проверен;время тушения эндогенного пожара № 721, возникшего 12 января 1982 г на шахте им.Калинина ПО Прокопьевскуголь по пласту Мощному с квершлага К 1, запад, гор. +230 м, проводилось наблюдение с 15 января по;https://patenton.ru/patent/SU1160048A1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2253014C1;СПОСОБ РАЗРАБОТКИ СКЛОННЫХ К САМОВОЗГОРАНИЮ МОЩНЫХ КРУТЫХ УГОЛЬНЫХ ПЛАСТОВ;Зубов В.П., Сидоренко А.А., Глушенков Е.В., Никишин Д.Ю.;1;упоминание в тексте, патентообладатель не проверен;"самовозгоранию.Предполагается апробация заявляемого способа при отработке пласта ""Мощный"" на шахте ″Тырганская″ ОАО “ Прокопьевскуголь ”.Использование заявляемого способа в рассматриваемых условиях позволяет по сравнению с известным";https://patenton.ru/patent/RU2253014C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2209966C2;ГИДРОМОДУЛЬ ПОДЗЕМНОЙ ДОБЫЧИ С ЗАМКНУТЫМ ЦИКЛОМ ВОДОСНАБЖЕНИЯ;Даунгли А.П., Шахурдин С.А., Троян Н.П., Слепокуров В.М., Захаров Г.М.;1;упоминание в тексте, патентообладатель не проверен;"оборотной воды и инструкция ее применения. Минтопэнерго РФ, корпорация ""Росуголь"", АООТ ""УК "" Прокопьевскуголь "", НТАО ""Гидромодуль"", г.Новокузнецк, 1994 г., с. 7-10), применение которой позволяет снизить";https://patenton.ru/patent/RU2209966C2
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2254470C1;СПОСОБ РАЗРАБОТКИ СКЛОННЫХ К САМОВОЗГОРАНИЮ МОЩНЫХ КРУТЫХ УГОЛЬНЫХ ПЛАСТОВ;Зубов В.П., Сидоренко А.А., Глушенков Е.В.;1;упоминание в тексте, патентообладатель не проверен;"самовозгоранию.Использование заявляемого способа в условиях отработки пласта ""Мощного"" на шахте ""Тырганская"" ОАО « Прокопьевскуголь » позволяет по сравнению с известным способом - прототипом: уменьшить потери полезного ископаемого";https://patenton.ru/patent/RU2254470C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2358108C1;ПРОХОДЧЕСКИЙ КОМПЛЕКС ДЛЯ ПРОВЕДЕНИЯ ВОССТАЮЩИХ ВЫРАБОТОК;Сухоруков Владимир Афанасьевич, Фрянов Виктор Николаевич, Шенгерей Светлана Владимировна, Сухоруков Владислав Владимирович;1;упоминание в тексте, патентообладатель не проверен;проходка восстающей выработки с помощью комплекса КПК - 1А на шахте им.Ворошилова комбината Прокопьевскуголь закончилась безрезультатно. Комплекс был оставлен в скате из-за вывалов породы, которая засыпала;https://patenton.ru/patent/RU2358108C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2069748C1;СПОСОБ РАЗРАБОТКИ МОЩНЫХ КРУТОПАДАЮЩИХ ПЛАСТОВ НАКЛОННЫМИ СЛОЯМИ С ЗАКЛАДКОЙ;Файнер И.А., Хан В.В., Легостаев А.В., Торф Ю.Д., Ткач С.В., Казаков В.А., Капустин М.Д., Шахурдин С.А., Яковлев Н.И., Суховольский С.Н.;1;упоминание в тексте, патентообладатель не проверен;"и малоусадочных закладочных материалов. Правда, в настоящее время на шахте ""Коксовая"" в АО "" Прокопьевскуголь "" освоен промышленный закладочный комплекс по производству твердеющих смесей для закладки выработанного";https://patenton.ru/patent/RU2069748C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2205954C1;СПОСОБ РАЗРАБОТКИ МОЩНЫХ КРУТЫХ ПЛАСТОВ ПОЛЕЗНЫХ ИСКОПАЕМЫХ;Зубов В.П., Сидоренко А.А.;1;упоминание в тексте, патентообладатель не проверен;"Пример конкретного применения заявляемого способа при отработке пласта ""Мощный"" на шахте 5-6 ОАО "" Прокопьевскуголь "". Угол падения пласта составляет 55-75o, мощность - 10-27 м. Вмещающие породы представлены углистыми";https://patenton.ru/patent/RU2205954C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2371544C1;СПОСОБ УПРОЧНЕНИЯ МАССИВА ГОРНЫХ ПОРОД;Гончаров Евгений Владимирович, Карманский Александр Тимофеевич, Таюрский Алексей Альбертович, Гончаров Никита Евгеньевич, Лодус Евгений Васильевич, Аликин Александр Валерьевич;1;упоминание в тексте, патентообладатель не проверен;упрочнению угольного массива мочевиноформальдегидными смолами на шахтах Кузбасса», Прокопьевск, « Прокопьевскуголь » 1979, стр.13-23). Данная группа способов включает: установление зон и участков горных пород;https://patenton.ru/patent/RU2371544C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2521207C2;ГИДРОУЧАСТОК ДЛЯ РАЗРАБОТКИ УГОЛЬНЫХ ПЛАСТОВ С ПОДЗЕМНЫМ ЗАМКНУТЫМ ЦИКЛОМ ВОДОСНАБЖЕНИЯ;Сенкус Валентин Витаутасович, Мельник Владимир Васильевич, Сенкус Витаутас Валентинович, Стефанюк Богдан Михайлович, Сенкус Василий Витаутасович, Кузнецов Юрий Николаевич, Абрамкин Николай Иванович, Дъячкова Тамара Васильевна;1;упоминание в тексте, патентообладатель не проверен;"замкнутым циклом водоснабжения. МПК Е21С 25/60. Заявит.: ООО Научно-производственное объединение "" Прокопьевскуголь "". Авторы: Даунгли А.П., Шахурдин С.А., Троян Н.П., и др. Заявл. 25.08.1998. Опубл. 10.08.2003";https://patenton.ru/patent/RU2521207C2
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2096618C1;БУРОШТРЕКОВЫЙ СПОСОБ ПОДЗЕМНОЙ РАЗРАБОТКИ УГОЛЬНЫХ ПЛАСТОВ;Егошин Воля Васильевич, Егоров Петр Васильевич, Бонецкий Владимир Александрович, Рыжков Юрий Александрович, Красильников Борис Васильевич;1;упоминание в тексте, патентообладатель не проверен;"условиях Кузнецкого бассейна. Л.П.Томашевский, И.Б. Милованов, В.В.Егошин и др. Прокопьевск, "" Прокопьевскуголь "", ""Южкузбассуголь"", ВостНИИ, КузНИУИ, 1975, 31 с; М.В.Курленя и др. Технология щитовой разработки";https://patenton.ru/patent/RU2096618C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2082886C1;СПОСОБ РАЗУПРОЧНЕНИЯ УГОЛЬНОГО ПЛАСТА (ВАРИАНТЫ);Ткаченко Н.Ф., Хрулев А.С., Эдельштейн О.А., Джигрин А.В.;1;упоминание в тексте, патентообладатель не проверен;"активного участия человека при управлении процессом. На шахте ""Тырганская"" АО ""Угольная компания Прокопьевскуголь "", где проводились шахтные испытания предлагаемых способов, производительность гидромониторного";https://patenton.ru/patent/RU2082886C1
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ПРОКОПЬЕВСКУГОЛЬ;;19;RU2491900C2;ПОЯС ШАХТЕРА;Старых Владимир Степанович, Коркачёв Вадим Анатольевич, Васильев Владимир Владимирович;1;упоминание в тексте, патентообладатель не проверен;месторождения составляет 12 км при ширине в 4 км в пределах шахтного поля шахты №5/6 треста Прокопьевскуголь , залегает 32 рабочих пласта с мощностью до 18 м и падением до 80°. Производственная мощность;https://patenton.ru/patent/RU2491900C2
4223057424;"ООО ""ОФ ""Коксовая""";Коксовая;;6135;SU363735A1;КОКСОВЫЙ ТРАНСФЕРКАР;Б. М. Чепурковский;;упоминание в тексте, патентообладатель не проверен;цельнометаллический четырехосный вагон, предназначенный для перевозки кокса от коксового силоса до коксовых бункеров доменного цеха.Известные коксовые трансферкары содержат раму со сквозной и несущей балками, на которой;https://patenton.ru/patent/SU363735A1
