tip;id;predmet;zakazchik;cena;url_kartochki;kontaktnoe_lico;istochnik;data_sbora
B2B-закупка;5428693;Поставка компрессоров;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИМОРСКИЙ ЗАВОД""";Не определена;https://zakupki.mos.ru/need/5428693;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9940431;Компрессор для аэрографа;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""ПСКОВСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ"" (ИНН: 6027132830)";10 155,00 ₽;https://zakupki.mos.ru/auction/9940431;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;5339521;Поставка Компрессора;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНЭНЕРГОСБЫТ""";154 500,00 ₽;https://zakupki.mos.ru/need/5339521;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9866925;КОМПРЕССОР АВТОМОБИЛЬНЫЙ;Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства» (ИНН: 7725618950);19 693,98 ₽;https://zakupki.mos.ru/auction/9866925;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4990575;Приобретение компрессора;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АЗИМУТ""";123 420,00 ₽;https://zakupki.mos.ru/need/4990575;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4935937;Приобретение компрессора;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АЗИМУТ""";123 420,00 ₽;https://zakupki.mos.ru/need/4935937;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4805416;Поставка компрессора;"ГОСУДАРСТВЕННОЕ КРАЕВОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ ПЕРМСКОГО КРАЯ""";150 000,00 ₽;https://zakupki.mos.ru/need/4805416;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4336564;Поставка компрессора;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 207 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ АНГЛИЙСКОГО ЯЗЫКА ЦЕНТРАЛЬНОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;8 400,00 ₽;https://zakupki.mos.ru/need/4336564;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4317672;Поставка компрессоров;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ТОВАРКОВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""";69 150,00 ₽;https://zakupki.mos.ru/need/4317672;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4270511;Поставка компрессора;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛОЖКОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА;27 000,00 ₽;https://zakupki.mos.ru/need/4270511;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
