inn;predpriyatie;na_chem_derzhitsya;priznak_chuzhoy_mashiny;marki;tip_mashiny;predmet;citata
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152A;вихревая или роторная воздуходувка, принцип не центробежный;;
2808023556;АО КОММУНАЛЬНЫЕ СИСТЕМЫ БАМА;слово доказывает;да;23ВФ-10/1 | 5СМ2УЗ;вихревая или роторная воздуходувка, принцип не центробежный;;
2808023556;АО КОММУНАЛЬНЫЕ СИСТЕМЫ БАМА;слово доказывает;да;23ВФ-10/1 | 5СМ2УЗ;вихревая или роторная воздуходувка, принцип не центробежный;;
2901008961;ПКП Титан;слово доказывает;да;СБ4/С-24 | GM193;вихревая или роторная воздуходувка, принцип не центробежный;;
3110011530;ЗАО Свинокомплекс Ивановский;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3110011530;ЗАО Свинокомплекс Ивановский;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3111505362;"АО ""ЛИВЕНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";слово доказывает;да;GM25;вихревая или роторная воздуходувка, принцип не центробежный;;
3127000014;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕБЕДИНСКИЙ ГОРНООБОГАТИТЕЛЬНЫЙ КОМБИН";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3202001147;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАЛЬЦОВСКИЙ ПОРТЛАНДЦЕМЕНТ""";слово доказывает;да;GM7L;вихревая или роторная воздуходувка, принцип не центробежный;;
3435000932;"МУП ""ВОДОКАНАЛ"", организатор";слово доказывает;да;GM15L;вихревая или роторная воздуходувка, принцип не центробежный;;
3435000932;"МУП ""ВОДОКАНАЛ"", организатор";слово доказывает;да;GM10L;вихревая или роторная воздуходувка, принцип не центробежный;;
3435051260;Валком-ПМ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3446031509;«Управляющая компания «ВОЛМА»»;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3446031509;«Управляющая компания «ВОЛМА»»;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
344603855649;ИП Семигук Юлия Александровна;слово доказывает;да;57Ю52Я;вихревая или роторная воздуходувка, принцип не центробежный;;
344603855649;ИП Семигук Юлия Александровна;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3503000411;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 5 ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3524015497;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШЕКСНА-ВОДОКАНАЛ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3528000967;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА ЧЕРЕПОВЦА ""ВОДОКА";слово доказывает;да;2АФ 51Э;вихревая или роторная воздуходувка, принцип не центробежный;;
3528093190;Обособленное подразделение ПромТрансПорт;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3528093190;Обособленное подразделение ПромТрансПорт;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3623004866;"АО ""КМЗ"" (ИНН 3623004866)";слово доказывает;да;ЗАФ-49 | ЗАФ-53;вихревая или роторная воздуходувка, принцип не центробежный;;
3623007578;"ООО ""ТД КМЗ""";слово доказывает;да;ЗАФ-49 | ЗАФ-53;вихревая или роторная воздуходувка, принцип не центробежный;;
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3702597104;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3801009466;"АО ""АНХК""";слово доказывает;да;ВР80-75;вихревая или роторная воздуходувка, принцип не центробежный;;
3801009466;"АО ""АНХК""";слово доказывает;да;ВР80-75;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/2,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/3,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/4,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/1,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/2,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/3,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/4,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/1,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/2,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/1,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/3,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/3,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/2,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-202/4,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;GMA 13.6 | В-201/1,;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-201/4;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-201/2;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-201/1;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-202/2;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-202/1;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-202/4;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-202/3;вихревая или роторная воздуходувка, принцип не центробежный;;
3801046700;"АО ""АЗП""";слово доказывает;да;А67-00348, | GMA 13.6 | В-201/3;вихревая или роторная воздуходувка, принцип не центробежный;;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";слово доказывает;да;RRF-350;вихревая или роторная воздуходувка, принцип не центробежный;;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";слово доказывает;да;RRF-350;вихревая или роторная воздуходувка, принцип не центробежный;;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";слово доказывает;да;RRF-350;вихревая или роторная воздуходувка, принцип не центробежный;;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";слово доказывает;да;RRF-350;вихревая или роторная воздуходувка, принцип не центробежный;;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";слово доказывает;да;RRF-350;вихревая или роторная воздуходувка, принцип не центробежный;;
3802008553;"АО ""ВЫСОЧАЙШИЙ""";слово доказывает;да;RRF-350;вихревая или роторная воздуходувка, принцип не центробежный;;
3803100054;Филиал РУСАЛ Братск в г. Шелехов;слово доказывает;да;EVL22/13;вихревая или роторная воздуходувка, принцип не центробежный;;
3803100054;Филиал РУСАЛ Братск в г. Шелехов;слово доказывает;да;EVL22/13;вихревая или роторная воздуходувка, принцип не центробежный;;
3804039638;РУСАЛ ИТЦ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3804039638;РУСАЛ ИТЦ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3804039638;РУСАЛ ИТЦ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3804045543;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ ГОРОДСКОЙ ИНФРАСТРУКТУРЫ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3804045543;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ ГОРОДСКОЙ ИНФРАСТРУКТУРЫ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3816031810;РУСАЛ Промтехразвитие;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3816031810;РУСАЛ Промтехразвитие;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
3816031810;РУСАЛ Промтехразвитие;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4011033206;"ООО ""МИРФУДС""";слово доказывает;да;GMA 11,3;вихревая или роторная воздуходувка, принцип не центробежный;;
4011033206;"ООО ""МИРФУДС""";слово доказывает;да;GMA 12,6;вихревая или роторная воздуходувка, принцип не центробежный;;
4011033206;"ООО ""МИРФУДС""";слово доказывает;да;GM7L-60-6,76-3;вихревая или роторная воздуходувка, принцип не центробежный;;
4025020084;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКА КАЛУЖСКОЙ ОБЛАСТИ ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4025020084;Муниципальное предприятие города Обнинска Калужской области ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4025020084;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКА КАЛУЖСКОЙ ОБЛАСТИ ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4025020084;Муниципальное предприятие города Обнинска Калужской области ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4025020084;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКА КАЛУЖСКОЙ ОБЛАСТИ ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4025020084;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКА КАЛУЖСКОЙ ОБЛАСТИ ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM60S | 531А1212;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM60S | 531А2212;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM25S | 523А2111;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM35S | 511А2111;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM25S | 521А2111;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM60S;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM35S;вихревая или роторная воздуходувка, принцип не центробежный;;
4029045298;"АО ""БиоТех Росва""";слово доказывает;да;GM90S;вихревая или роторная воздуходувка, принцип не центробежный;;
4202004414;"ОАО ЦОФ ""Беловская""";слово доказывает;да;ПК-35 | GM 130L | А-34b | А-34c;вихревая или роторная воздуходувка, принцип не центробежный;;
4202004414;"ОАО ЦОФ ""Беловская""";слово доказывает;да;ВЦ 14-46-2,5 | В-21 | GM 60H | А-34d;вихревая или роторная воздуходувка, принцип не центробежный;;
4202004414;"ОАО ЦОФ ""Беловская""";слово доказывает;да;ПК-35 | GM 130L | А-34b | А-34c;вихревая или роторная воздуходувка, принцип не центробежный;;
4202050996;"ООО ""ММК-УГОЛЬ""";слово доказывает;да;GM 60H | А-34d | А-34e;вихревая или роторная воздуходувка, принцип не центробежный;;
4202050996;"ООО ""ММК-УГОЛЬ""";слово доказывает;да;GM60H | IIA-34f | GM130L | А68-00204;вихревая или роторная воздуходувка, принцип не центробежный;;
4203000074;"ООО СП ""БАРЗАССКОЕ ТОВАРИЩЕСТВО""";слово доказывает;да;BB 89C;вихревая или роторная воздуходувка, принцип не центробежный;;
4203001617;"ПАО ""ЦОФ ""Березовская""""";слово доказывает;да;ARHD 3061 | WF 100 | GM80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4203001617;"ПАО ""ЦОФ ""Березовская""""";слово доказывает;да;GM80L | BB 68C | EPC 840-250 | ВП-10/8;вихревая или роторная воздуходувка, принцип не центробежный;;
4203001617;"ПАО ""ЦОФ ""Березовская""""";слово доказывает;да;СКВП20 | GM80L | EPC 840-250;вихревая или роторная воздуходувка, принцип не центробежный;;
4203001617;"ПАО ""ЦОФ ""Березовская""""";слово доказывает;да;КТ 70-40-6 | ВО6-300 | ВР80-75 | VSF 120/10;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;ШН250 | РН-100 | РН-150 | GM130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-80L | GM-130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-130L | GM-80L | РН-100 | РН-150;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4212024138;"АО ""СУЭК-КУЗБАСС""";слово доказывает;да;GM-130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";марка опознана;да;ТВ-80-1.4 | ТВ-200-1,4 | GM130-L;вихревая или роторная воздуходувка, принцип не центробежный;;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";марка опознана;да;ТВ-80-1.4 | ТВ-200-1,4 | GM130-L;вихревая или роторная воздуходувка, принцип не центробежный;;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";марка опознана;да;ТВ-80-1,4 | ТВ-200-1,4 | GM130-L;вихревая или роторная воздуходувка, принцип не центробежный;;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";марка опознана;да;2BE3520-2BY4 | ВВН-2-50 | ТВ-80-1,6-01 | GM 130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";марка опознана;да;МО-318 | МО-212 | ФГВ-1321У | ТВ200-1,4-01;вихревая или роторная воздуходувка, принцип не центробежный;;
4214018690;"АО ""ОФ ""РАСПАДСКАЯ""";слово доказывает;да;ДГРО7-002163/8 | ВР 280-46 | ВР 80-75 | ВР 120-45;вихревая или роторная воздуходувка, принцип не центробежный;;
4219000048;"АО  ""ЦОФ ""Абашевская""""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4219000048;"АО  ""ЦОФ ""Абашевская""""";слово доказывает;да;DT 90/552;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ГИСЛ-62 | GM 130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-25S | GM-50L | GM-80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-25S | МФУ 6-6 | КЛС-1200 | ПЩ-35;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ВЦ 4-75 | ВЦ 4-70 | ЦП 7-40 | ВО 6-300;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;В-1000 | КЛС-1200 | КЛС-900 | ВВН2-50М;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";марка опознана;да;NPK 200-560 | GM 130 | H-900 | Д-25;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ПВМ 10СА | HSG-1100 | ГИСЛ-62 | GM-150S;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-25S | GM-80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-50L;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 150 | GM 130;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ГИСЛ-62 | GM 130L;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-90S;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 130;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 80L | ВДН-10;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ГИСЛ 62 | GM 130;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 80L | ГЦ-710 | Ш100-80 | ВНВ-2М;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 150 | ПК-1,2-10;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-80L | GM-50L | GM-25S;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 80L | БГ-800 | ЛПК-10Б | Ш100-80;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 80L | БГ-800 | ЛПК-10Б | Ш100-80;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ПК-1,2-10 | GM 130;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-80L | GM-50L | GM-25S;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM 150 | GM 130 | ПК-1,2-10;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;ПК-1,2-10 | GM 130;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;Д-15,5 | ВР 80-75 | GM80L | ВД-10;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";слово доказывает;да;GM-80L | GM-50L | GM-25S;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;ОФ ПРОКОПЬЕВСКУГОЛЬ;слово доказывает;да;EVL 89/57;вихревая или роторная воздуходувка, принцип не центробежный;;
4223036696;ОФ ПРОКОПЬЕВСКУГОЛЬ;слово доказывает;да;EVL 89/57;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;ЭО6С-МК | GM-130L | ЦНС 105-98 | ЦНСГ 38-110;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-150S | ГИСЛ-62 | ГИ-32 | 1КС 20/50;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | ЭШ-6380 | А68-02714;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;HDP-2,6М | GM-150S | ШН-250-34 | А68-02714;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | GM-150S | ЭО-6С | ГИСЛ 62У-1;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | GM-150S | ДО 080 | ВВН 2-50;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;HDP-2,6М | GM-150S | PTD 306 | ШН-250-34;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;HDP-2,6М | GM-150S | ШН-250-34;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | ЭШ-63-80;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | ЭШ-63-80;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | ЭШ-63-80;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;HDP-2,6М | GM-150S | ШН-250-34;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | GM-150S | ЭО-6С | МО-318;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | GM-150S | ЭО-6С | ГИСЛ-62У-1;вихревая или роторная воздуходувка, принцип не центробежный;;
4223057424;"ООО ""ОФ ""Коксовая""";слово доказывает;да;GM-130L | GM-150S | ЭО-6С | ГИСЛ-62У-1;вихревая или роторная воздуходувка, принцип не центробежный;;
4250005979;"АО ""УК ""СЕВЕРНЫЙ КУЗБАСС""";слово доказывает;да;ТУ-004-26/А/СК | ДМС-03 | ВР-80-75-2,5 | ВЦ-14-46В;вихревая или роторная воздуходувка, принцип не центробежный;;
4407006010;"ООО ""СВИСС КРОНО""";слово доказывает;да;GM80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4407006010;"ООО ""СВИСС КРОНО""";слово доказывает;да;GM90S;вихревая или роторная воздуходувка, принцип не центробежный;;
4407006010;"ООО ""СВИСС КРОНО""";слово доказывает;да;SRB 125/4V;вихревая или роторная воздуходувка, принцип не центробежный;;
4407006010;"ООО ""СВИСС КРОНО""";слово доказывает;да;SRB 125/4V;вихревая или роторная воздуходувка, принцип не центробежный;;
4407006010;"ООО ""СВИСС КРОНО""";слово доказывает;да;GM 80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4407006010;"ООО ""СВИСС КРОНО""";слово доказывает;да;GM-80L;вихревая или роторная воздуходувка, принцип не центробежный;;
4501158733;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДНЫЙ СОЮЗ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4501158733;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДНЫЙ СОЮЗ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4501158733;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДНЫЙ СОЮЗ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4603005648;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСКПРОДУКТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
4603005648;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСКПРОДУКТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
