tip;nomer;produkt;izgotovitel;deklarant;status;strana;data;url;istochnik;data_sbora
Декларация;ЕАЭС N RU Д-CN.РА03.В.05655/24 ФСА ↗;Центробежный компрессор;"""Shenyang Turbo-Machinery Co. LTD""";"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";Действует;Китайская Народная Республика;25.03.2024;›;https://vaskov.pro/sertifikaty/declaration/18759681;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА01.В.99672/24 ФСА ↗;Вентилятор центробежный промышленного компрессора Atlas Copco GA90 VSD 400V, 1622 3646 22 TM: Atlas Copco;Wuxi Youteng Machinery Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОМАШ""";Действует;Китайская Народная Республика;15.02.2024;›;https://vaskov.pro/sertifikaty/declaration/18639576;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-KR.РА01.А.13511/24 ФСА ↗;Компоненты транспортных средств, торговой марки «MOBIS», «GENERAL MOTORS», «GM»;HYUNDAI MOBIS CO., LTD;"Общество с ограниченной ответственностью ""ДЕЛЬТА ТРЕЙД""";Прекращён;Республика Корея;15.02.2024;›;https://vaskov.pro/sertifikaty/declaration/18636485;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА01.А.89189/24 ФСА ↗;Оборудование компрессорное;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";Действует;Российская Федерация;12.02.2024;›;https://vaskov.pro/sertifikaty/declaration/18611863;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АЖ58.А.04994/24 ФСА ↗;Компрессор центробежный ЦБК75-3,2/30-3000/2С-Э;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";Действует;РОССИЯ;09.02.2024;›;https://vaskov.pro/sertifikaty/certificate/3387093;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АЖ58.А.04954/24 ФСА ↗;Центробежный газовый компрессор 3ГЦ2-78/65-108 Маркировка взрывозащиты согласно приложению (бланки №№ 1007573, 1007574, 1007575);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ"" (АО «Казанькомпрессормаш»)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ"" (АО «Казанькомпрессормаш»)";Действует;РОССИЯ;01.02.2024;›;https://vaskov.pro/sertifikaty/certificate/3382998;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АЖ58.А.04763/23 ФСА ↗;Компрессор центробежный 5ГЦ2-420/2,5-45;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;27.12.2023;›;https://vaskov.pro/sertifikaty/certificate/3367656;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА10.В.93500/23 ФСА ↗;Вентиляторы промышленные: TM: Olymtech;"""Olymtech Technology Development Co., Ltd.""";"Общество с ограниченной ответственностью ""НижегородТехЦентр""";Действует;Китайская Народная Республика;22.12.2023;›;https://vaskov.pro/sertifikaty/declaration/18494485;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.НА65.А.01962/23 ФСА ↗;Центробежный газовый компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;24.11.2023;›;https://vaskov.pro/sertifikaty/certificate/3349428;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CZ.РА09.В.56207/23 ФСА ↗;"Оборудование технологическое для пищевой промышленности: комплекс взаимосвязанного технологического оборудования ""Минипивзавод"", торговая марка: «Destila», в составе согласно приложению No 1 на 1 лист…";"""DESTILA s. r. o.""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АФ БРЮ""";Действует;Чешская Республика;10.11.2023;›;https://vaskov.pro/sertifikaty/declaration/18337234;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-CN.РА02.А.09752/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств:;DONGNING CITY JIANUO IMPORT AND EXPORT TRADE CO., LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВИС ВЭД""";Архивный;Китайская Народная Республика;09.11.2023;›;https://vaskov.pro/sertifikaty/declaration/18330458;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-TR.РА02.А.04804/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств, ТМ ASP: Ролик натяжителя 16.9*36.5*81.1, арт. 200029311 Трубка охлаждения компрессора, арт. 203087311 Сепарат…;MENSAN OTOMOTIV VE MAKINE AKSAMI A.S.,;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАЙМТЕК""";Архивный;Турецкая Республика;26.10.2023;›;https://vaskov.pro/sertifikaty/declaration/18279410;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-CN.РА01.А.81929/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств:;DONGNING CITY JIANUO IMPORT AND EXPORT TRADE CO., LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВИС ВЭД""";Архивный;Китайская Народная Республика;25.08.2023;›;https://vaskov.pro/sertifikaty/declaration/18027401;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА06.В.76084/23 ФСА ↗;Оборудование компрессорное: компрессор центробежный типа НЦ16ДКС/100-04 «Урал»;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА""";Действует;Российская Федерация;23.08.2023;›;https://vaskov.pro/sertifikaty/declaration/18026996;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-TR.РА01.А.71498/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств, ТМ 4U: Трубка охлаждения компрессора артикул 24562ME, Бачок расширительный артикул 26516ME, Сепаратор масляный…;AYROD OTOMOTİV YEDEK PARÇA ELEKTRİK ÜRET.SAN.VE TİC. LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАЙМТЕК""";Архивный;Турецкая Республика;27.07.2023;›;https://vaskov.pro/sertifikaty/declaration/17927286;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-CN.МТ25.В.05908/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки SITRAK, HOWO типов ZZHS, ZZH в соответствии с электронным каталогом EPC (Elect…;China National Heavy Duty Truck Group Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНОТРАК РУС""";Архивный;—;12.07.2023;›;https://vaskov.pro/sertifikaty/certificate/3280880;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-DE.МТ25.В.05907/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки IVECO коммерческого наименования S-WAY типов 1A3C, AA3C, BA3C, A3C, 23C в соо…;IVECO Magirus AG;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИВЕКО РУССИЯ""";Архивный;ГЕРМАНИЯ;12.07.2023;›;https://vaskov.pro/sertifikaty/certificate/3277143;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-CN.РА01.А.65462/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для транспортных средств: ступица - 120 шт, компрессор - 240 шт, клаксон сигнал - 1060 шт, привод - 26 шт, рейлинги - 21 шт, Вентилятор це… TM: торговая марка DONGNING CITY JIANUO IMPORT AND EXPORT TRADE CO., LTD;DONGNING CITY JIANUO IMPORT AND EXPORT TRADE CO., LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВИС ВЭД""";Архивный;Китайская Народная Республика;11.07.2023;›;https://vaskov.pro/sertifikaty/declaration/17865772;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-DE.МТ25.В.05906/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки IVECO коммерческого наименования STRALIS типов 1A3C, AA3C, BA3C, AD3C, AC3C, A…;IVECO Magirus AG;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИВЕКО РУССИЯ""";Действует;ГЕРМАНИЯ;11.07.2023;›;https://vaskov.pro/sertifikaty/certificate/3276827;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА05.В.04006/23 ФСА ↗;"Воздушный центробежный компрессор многовальный, многоступенчатый (3 ступени). Производительность компрессора:120 ±3% нм3/мин; мощность электродвигателя: 6000 Вольт (950 лошадиных сил), на стальной фун…";Shanghai Shangu. Ltd;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИГИТ""";Действует;Китайская Народная Республика;29.06.2023;›;https://vaskov.pro/sertifikaty/declaration/17827825;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-IT.МТ25.В.05896/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки IVECO коммерческого наименования DAILY типов IS35, IS52CI2BA, IS56CC2BA, IS70C…;IVECO S.p.A;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИВЕКО РУССИЯ""";Архивный;ИТАЛИЯ;29.06.2023;›;https://vaskov.pro/sertifikaty/certificate/3260736;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-IT.МТ25.В.05895/23 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки IVECO коммерческого наименования DAILY типов IS35, IS35CI2AA, IS35SI2AA, IS35S…;IVECO S.p.A;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИВЕКО РУССИЯ""";Действует;ИТАЛИЯ;28.06.2023;›;https://vaskov.pro/sertifikaty/certificate/3261886;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА04.В.83410/23 ФСА ↗;Оборудование компрессорное: компрессор центробежный, типы: ЦК, К;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭНТЕХМАШ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭНТЕХМАШ""";Действует;Российская Федерация;22.06.2023;›;https://vaskov.pro/sertifikaty/declaration/17803546;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА04.В.31697/23 ФСА ↗;Оборудование компрессорное: центробежный газовый компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;Российская Федерация;01.06.2023;›;https://vaskov.pro/sertifikaty/declaration/17745764;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА04.В.27386/23 ФСА ↗;Оборудование компрессорное;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУРБОМАШ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУРБОМАШ""";Действует;Российская Федерация;31.05.2023;›;https://vaskov.pro/sertifikaty/declaration/17740335;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА03.В.95030/23 ФСА ↗;Оборудование компрессорное TM: “Sullivan Palatek”;«Sullivan Palatek Asia Co., Ltd.»;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БТ ГРУПП""";Действует;Китайская Народная Республика;17.05.2023;›;https://vaskov.pro/sertifikaty/declaration/17701821;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА02.В.48782/23 ФСА ↗;Компрессор центробежный;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;Российская Федерация;05.04.2023;›;https://vaskov.pro/sertifikaty/declaration/17535895;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.52055/23 ФСА ↗;Осевой вентилятор, Центробежный вентилятор, Приточный вентилятор, Воздушный компрессор;«Henan Dekelon Paper Making Machinery Co.,Ltd.»;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКЗОФУД""";Архивный;Китайская Народная Республика;17.03.2023;›;https://vaskov.pro/sertifikaty/declaration/17539730;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА01.А.17258/23 ФСА ↗;Оборудование компрессорное:;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";Архивный;Российская Федерация;17.01.2023;›;https://vaskov.pro/sertifikaty/declaration/17005334;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ВП RU Д-CN.РА01.А.58190/22 ФСА ↗;Компоненты транспортных средств: лампа накаливания, артикула: 992519, 992521, 992516, 990037, вентилятор, артикул: 24017079, блок компрессора, артикул: 22101753, насос охлаждающей жидкости артикул: 23…;Volvo (China) Investment Company Limited;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЙХОНГ ТРЕЙДИНГ""";Архивный;Китайская Народная Республика;30.12.2022;›;https://vaskov.pro/sertifikaty/declaration/17353549;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-DE.МТ25.В.05603/22 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки MAN, типа L.2007.46.001, L.2007.46.002, L.2007.46.003, L.2007.46.004, L.2007.4…;MAN Truck & Bus SE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАН ТРАК ЭНД БАС РУС""";Архивный;ГЕРМАНИЯ;27.12.2022;›;https://vaskov.pro/sertifikaty/certificate/3184266;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА09.В.09582/22 ФСА ↗;Компрессоры промышленные: центробежный сальниковый компрессор,;"""Zhejiang Sanrong Refrigeration Components Co., Ltd.""";"Общество с ограниченной ответственностью ""Сервис и модернизация инженерных систем""";Действует;Китайская Народная Республика;15.12.2022;›;https://vaskov.pro/sertifikaty/declaration/17305685;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА08.В.60618/22 ФСА ↗;Оборудование компрессорное:;«Denair Energy Saving Technology (Shanghai) PLC.»;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНАНСОВО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ В АТОМНОЙ ЭНЕРГЕТИКЕ""";Действует;Китайская Народная Республика;29.11.2022;›;https://vaskov.pro/sertifikaty/declaration/17246544;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА08.В.09569/22 ФСА ↗;Оборудование компрессорное:;Guangdong Hande Precision Machinery Co., Ltd;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСПРОМ""";Архивный;Китайская Народная Республика;10.11.2022;›;https://vaskov.pro/sertifikaty/declaration/17190816;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА07.А.85568/22 ФСА ↗;Оборудование компрессорное;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭНТЕХМАШ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭНТЕХМАШ""";Действует;Российская Федерация;03.11.2022;›;https://vaskov.pro/sertifikaty/declaration/17165302;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.МТ25.В.05441/22 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки IVECO-AMT, типов AD260S42Y/P, AT260S42Y/P, AD260S45Y/P, AT260S45Y/P, 670000, 5…;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТ Н.В.""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТ Н.В.""";Действует;РОССИЯ;18.10.2022;›;https://vaskov.pro/sertifikaty/certificate/3155461;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.МТ25.В.05440/22 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки IVECO-AMT, типов AD260S42Y/P, AT260S42Y/P, AD260S45Y/P, AT260S45Y/P, 670000, 5…;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТ Н.В.""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТ Н.В.""";Прекращён;РОССИЯ;18.10.2022;›;https://vaskov.pro/sertifikaty/certificate/3154708;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АД84.А.00257/22 ФСА ↗;Центробежный газовый компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;05.08.2022;›;https://vaskov.pro/sertifikaty/certificate/3126887;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА04.В.96010/22 ФСА ↗;ЦЕНТРОБЕЖНЫЙ ВОЗДУШНЫЙ КОМПРЕССОР :;GUANGDONG LINGXIAO PUMP INDUSTRY CO., LTD.;ЧЕРЕПЕННИКОВ СЕРГЕЙ ВАЛЕРЬЕВИЧ;Архивный;Китайская Народная Республика;22.07.2022;›;https://vaskov.pro/sertifikaty/declaration/16872008;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АД84.А.00238/22 ФСА ↗;Центробежный газовый компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;11.06.2022;›;https://vaskov.pro/sertifikaty/certificate/3107237;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА03.В.35687/22 ФСА ↗;"Оборудование компрессорное: центробежный компрессор. Торговая марка ""SBW"", модели: MCL, BCL, PCL, MCO, MA, DH, SVK, SV, SDG, S, D, GM";"""SBW group geared compressor corporation""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮРАЛ ГРУПП""";Действует;Китайская Народная Республика;29.04.2022;›;https://vaskov.pro/sertifikaty/declaration/16703894;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АД84.А.00222/22 ФСА ↗;Центробежный газовый компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;23.03.2022;›;https://vaskov.pro/sertifikaty/certificate/3064313;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.АД84.А.00221/22 ФСА ↗;Центробежный газовый компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;21.03.2022;›;https://vaskov.pro/sertifikaty/certificate/3062725;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.36678/22 ФСА ↗;Оборудование компрессорное;"""Hangzhou Oxygen Plant Group Co., Ltd.""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСГАЗКРИО""";Архивный;Китайская Народная Республика;11.03.2022;›;https://vaskov.pro/sertifikaty/declaration/16595730;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
