list;stranica;zakazchik;god_min;god_max;hvost
1_referentsii_repkh_eksport_po_stranam.pdf;5;3 Н;1956;2000;2000-32 Венгрия Меткомбинат Меткомбинат 1 1956 Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;5;4 Н-6500-11-4 Венгрия Меткомбинат Меткомбинат 2;1979;1979;1979 1,6 6750 1 0,096234803 0,08623202 Электродвигатель Металлургия газ ферросплавных
1_referentsii_repkh_eksport_po_stranam.pdf;5;5 К-3250-41-2 Венгрия Меткомбинат Меткомбинат 1;1979;1979;1979 12 3250 2 0,44 0,10 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;5;комбинат Металлургический комбинат 5;1956;1956;1956 4 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;"Вьетнам ТЭС ""Уонг Би"" ТЭС ""Уонг Би"" 1 к-т";2004;2004;2004 ШЭ, ЯЭ Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;5;"Вьетнам ТЭС ""Уонг Би"" ТЭС ""Уонг Би"" 1 к-т";2005;2005;2005 ШЭ, ЯЭ Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;5;"Вьетнам ГЭС ""Се Сан3"" ГЭС ""Се Сан3"" 1 к-т";2005;2005;2005 ШСН, ШЗВ, ШЗН Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;5;"Вьетнам ТЭС ""Уонг Би"" ТЭС ""Уонг Би"" 1 к-т";2005;2005;2005
1_referentsii_repkh_eksport_po_stranam.pdf;5;Вьетнам ТЭС Уонг Би ТЭС Уонг Би 1 к-т;2007;2007;2007 Модули питания Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;6;1 Н-540-41-1 Германия 1;1970;1970;1970 1,6 540 1 0,4116 0,095 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;6;2 Н-540-41-2 Германия 1;1976;1976;1976 1,6 540 1 0,4116 0,095 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;6;1 Паровая турбина АКВ-6-5 Грузия Закавказский МЗ Закавказский МЗ 2;1954;1954;1954 6 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;6;2 Паровая турбина АКВ-12-5 Грузия Руставский МЗ Руставский МЗ 2;1978;1978;1978 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;6;1 Паровая турбина АКВ-12-2 Индия Бхилайский МЗ Бхилайский МЗ 4;1957;1957;1957 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;6;2 Паровая турбина АКВ-12-4 Индия Бхилайский МЗ Бхилайский МЗ 4;1963;1963;1963 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;6;3 Паровая турбина АКВ-12-4 Индия Бхилайский МЗ Бхилайский МЗ 1;1970;1970;1970 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;6;4 Паровая турбина К-19-35-2 Индия Бхилайский МЗ Бхилайский МЗ 1;1988;1988;1988 18 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;6;"1 Полномасштабный тренажер Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2005;2005;2005 ПМТ Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ГЭС ""Балимела"" ГЭС ""Балимела"" 1 к-т";2005;2005;2005 КРУ Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2007;2007;2007 СКУ ЭЧ, ЗИП Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2007;2007;2007 МЩУ Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т";2011;2011;2011 МЩУ Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т";2011;2011;2011 МЩУ Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т";2011;2011;2011 МЩУ Атомная
