inn;predpriyatie;nazvanie_egrul;adres;sayt;rukovoditel;dolzhnost_rukovoditelya;status_egrul;vyruchka;vyruchka_god;okved_osnovnoy;okvedov;okved_kody;ssylka_checko;ssylka_okved
7202116628;"АО """"СИБУРТЮМЕНЬГАЗ";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБУРТЮМЕНЬГАЗ""";Ханты-Мансийский Автономный округ - Югра, г Нижневартовск, ул Омская, зд 1;sibur.ru;Олифиренко Александр Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;46,1 млрд;2025;;43;19.20.2 35.30.14 35.30.2 36.00.2 37.00 49.50.21 49.50.22 52.10.21 52.10.22 52.24.1 68.20.29 70.22 71.20.1 77.39.11 82.99 26.51 33.11 33.12 33.13 33.14 33.20 35.22 36.00.1 46.69 46.71 46.73 46.75.2 46.77 47.78.6 49.50.1 49.50.2 52.10.23 52.10.9 52.24 61.10 61.10.1 68.20.2 68.32.1 71.20 77.39.1 77.39.23 85.30 85.42.9;https://checko.ru/company/siburtyumengaz-1037200611612;https://checko.ru/company/1037200611612/activity
4029047030;"ООО """"УК ЦЭЭН";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЦЕНТР ЭНЕРГО ЭКСПЛУАТАЦИИ И НАЛАДКИ""";г Калуга, ул Новаторская, д 6;ukceen.ru;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗСТРОЙИНВЕСТ""";;ACTIVE;135 млн;2025;;8;35.30 35.11 35.12 35.13 41.20 52.10 61.10.1 71.11.1;https://checko.ru/company/uk-cehehn-1124029004142;https://checko.ru/company/1124029004142/activity
6451114900;"ПАО """"САРАТОВСКИЙ НПЗ";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""САРАТОВСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";г Саратов, ул Брянская, д 1;saratov-npz.ru;Камлык Евгений Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;11,7 млрд;2020;;26;19.20.1 35.30.3 36.00.2 37.00 52.10.21 52.29 68.20.29 71.20.5 86.90.9 19.20 20.13 33.12 38.1 38.2 49.41.2 49.50.11 49.50.12 52.24 68.20.2 71.11.1 71.12.1 71.12.12 71.12.62 71.20.1 71.20.9 85.30;https://checko.ru/company/pao-saratovsky-npz-1026402483810;https://checko.ru/company/1026402483810/activity
5250043567;"ООО """"ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";Нижегородская обл, г Нижний Новгород, г Кстово, р-н Промышленный, Центральное шоссе, д 9;nnos.lukoil.ru;Андронов Сергей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;113,5 млрд;2025;;12;19.20.1 46.90 52.10.21 52.29 68.20.1 19.20 46.71 49.50.11 71.12.1 72.19 84.22 84.25;https://checko.ru/company/lukoyl-nizhegorodnefteorgsintez-1085250002111;https://checko.ru/company/1085250002111/activity
6623029538;"АО """"НПК """"Уралвагонзавод";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД"" ИМЕНИ Ф.Э. ДЗЕРЖИНСКОГО""";Свердловская обл, г Нижний Тагил, Восточное шоссе, д 28;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""УРАЛВАГОНЗАВОД""";;ACTIVE;;;;110;30.40 16.23.1 25.29 25.62 25.93.1 28.92 30.20.33 31.09 35.11.1 35.30.11 35.30.14 46.90 47.11 49.41.1 56.29.2 64.91.2 70.22 86.90.4 90.04.3 93.11 01.70 08.12.2 16.10.1 18.1 23.5 23.6 24.1 24.10.3 24.10.4 25.1 25.40 25.73 25.93 27.51 28.11.1 28.22 28.30.2 28.30.8 29.10.1 29.10.5 29.3 30.20 31.0 33.12 37.00 38.1 38.2 38.32.2 38.32.3 38.32.4 41.2 43.11 43.12.3 43.2 43.3 45.1 45.20 45.20.2 47.1 49.20 49.3 49.4 52.10 52.21.24 52.24 53.20.1 55.1 55.90 56.29 59.13 59.14 60.10 60.20 61.10.1 64.91 64.99.11 69.10 71.11.1 71.12.45 71.12.62 71.20.1 71.20.3 71.20.4 71.20.5 71.20.6 72.19 73.11 75.00 77.31 77.39.12 77.39.29 80.10 80.20 80.30 81.29.1 85.23 85.42 85.42.1 85.42.9 86.10 86.21 86.90.9 90.0 90.04 91.01 91.02 91.03 93.2 93.29.9 96.04;https://checko.ru/company/nauchno-proizvodstvennaya-korporaciya-uralvagonzavod-1086623002190;https://checko.ru/company/1086623002190/activity
3801046700;"АО """"АЗП";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АНГАРСКИЙ ЗАВОД ПОЛИМЕРОВ""";Иркутская обл, г Ангарск, тер Первый промышленный массив, кв-л 8, стр 5;;Александров Михаил Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;7,5 млрд;2020;;8;20.14.1 20.16 19.20 20.14.7 46.12.31 46.18.99 68.20.2 82.99;https://checko.ru/company/azp-1023800515716;https://checko.ru/company/1023800515716/activity
6382018657;"ООО """"ТОМЕТ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМЕТ""";Самарская обл, г Тольятти, ул Горького, д 96, помещ 150;tomet63.com;Калинин Сергей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;9,7 млрд;2022;;7;20.14.2 20.14.7 64.92.1 64.92.2 68.20.2 77.39.12 77.39.29;https://checko.ru/company/tomet-1026303947680;https://checko.ru/company/1026303947680/activity
3302001983;"МУП """"Владимирводоканал";"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВЛАДИМИРВОДОКАНАЛ"" ГОРОДА ВЛАДИМИРА";г Владимир, ул Горького, д 95;vodokanalvladimir.ru;Кладов Александр Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;2,1 млрд;2025;;48;36.00.2 37.00 42.21 96.04 08.12 08.12.2 10.13.1 10.13.2 10.13.3 10.13.4 10.13.5 10.13.6 10.13.7 20.15 33.13 35.12 35.13 35.22 35.30.2 35.30.5 36.00.1 38.1 38.2 41.20 42.11 42.12 42.13 47.11 47.25 56.29 63.11 68.20 70.22 71.1 71.12.45 71.12.5 71.12.6 73.11 77.29 80.10 80.20 80.30 84.25 86.21 86.23 96.01 96.02 96.09;https://checko.ru/company/mup-vladimirvodokanal-1023301463239;https://checko.ru/company/1023301463239/activity
7017075536;"ООО """"ТОМСКНЕФТЕХИМ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМСКНЕФТЕХИМ""";г Томск, Кузовлевский тракт, д 2 стр 202;sibur.ru;Рябиков Рамиль Митхатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;13 млрд;2021;;19;20.16 20.14.7 22.21.9 35.30.14 36.00.2 37.00 68.20.29 82.99 19.20 20.59 33.12 35.12 35.12.1 35.30 36.00 46.72.23 49.20 68.20.2 86.21;https://checko.ru/company/tomskneftekhim-1037000135920;https://checko.ru/company/1037000135920/activity
8911020768;"ООО """"НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""";Ямало-Ненецкий АО, г Тарко-Сале, ул Тарасова, д 28;novatek.ru;Васильев Сергей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;279,5 млрд;2024;;39;06.20.1 06.10.1 06.10.3 06.20.2 09.10.9 35.11.1 46.71.3 46.71.4 55.10 02.20 06.10 06.20 09.10 16.23.1 19.20 35.11 41.20 46.71 47.30 49.4 49.50.11 49.50.12 49.50.21 49.50.22 52.10.21 52.10.22 52.21.2 56.10 56.29 56.30 71.11 71.12 71.12.1 71.12.3 71.12.41 71.12.42 71.12.6 71.12.62 85.21;https://checko.ru/company/novatehk-tarkosaleneftegaz-1058901201920;https://checko.ru/company/1058901201920/activity
5249101729;"ООО """"ММА";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ММА""";Нижегородская обл, г Дзержинск, Автозаводское шоссе, д 112, помещ 10;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОРУНД ПЛЮС""";;ACTIVE;;;;5;20.1 20.14 86.10 86.21 86.90.9;https://checko.ru/company/mma-1095249003046;https://checko.ru/company/1095249003046/activity
6612005052;"АО """"РУСАЛ УРАЛ";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ КОМПАНИЯ РУСАЛ УРАЛЬСКИЙ АЛЮМИНИЙ""";Свердловская обл, г Каменск-Уральский, ул Заводская, д 10;uaz.rusal.ru;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;ACTIVE;64,7 млрд;2021;;135;24.42 17.29 20.11 20.13 27.90.9 28.99.3 33.12 33.13 33.17 35.11.1 35.11.2 35.14 35.30.11 36.00.1 36.00.2 37.00 38.32.59 46.12.1 46.90 49.39.39 49.41.1 49.41.2 52.10.9 52.21.11 52.21.19 52.24.2 52.29 55.10 56.29.2 61.10.1 68.20.1 68.20.29 71.20.1 71.20.4 71.20.5 77.39.11 77.39.29 80.10.9 81.22 82.19 82.99 86.90.4 90.04.3 93.11 96.01 07.29.3 08.11.2 13.92 16.1 16.10 16.10.1 16.10.3 16.10.9 16.23.1 16.23.2 16.24 16.29.11 24.51 24.52 25.11 25.99.12 25.99.29 28.91 28.99 33.14 33.20 35.11.4 35.12 35.13 35.22 35.30.13 35.30.14 35.30.15 35.30.2 35.30.3 35.30.4 35.30.5 36.00 41.20 42.21 42.99 43.11 43.12 43.12.1 43.12.3 43.3 43.31 43.32 43.33 43.34 43.34.1 43.34.2 43.39 43.91 43.99.1 43.99.2 43.99.3 43.99.4 43.99.6 43.99.7 46.12 46.19 46.72.22 47.19 47.19.1 49.20 49.3 49.4 52.10 52.21.1 52.24 55.90 56.21 56.29 60.10 60.20 63.11 68.32.1 69.20.2 70.10.2 70.22 72.19 73.20.1 80.10 80.20 80.30 85.30 85.42.9 86.21 90.04 91.01 93.29 93.29.9 96.02 96.09;https://checko.ru/company/rusal-ural-1026600931180;https://checko.ru/company/1026600931180/activity
5954000425;"ЗАО """"АГРОФИРМА """"МЯСО";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОФИРМА ""МЯСО""";Пермский край, г Чайковский, ул Энергетическая, д 30;;Ким Игорь Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;718,6 млн;2025;;23;10.13.2 10.11.1 10.11.2 10.11.5 10.13.4 35.30.14 46.90 49.41.1 56.29.2 68.20.29 10.11 10.11.3 10.11.4 10.13.1 10.13.3 10.13.5 10.13.6 10.13.7 10.51.1 10.51.2 10.51.3 10.51.4 10.51.9;https://checko.ru/company/agrofirma-myaso-1025902030076;https://checko.ru/company/1025902030076/activity
7841312071;"ПАО """"ТГК-1";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ №1""";г Санкт-Петербург, пр-кт Добролюбова, д 16 к 2а, помещ 54Н;tgc1.ru;Ведерчик Вадим Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;121,9 млрд;2025;;57;35.11.1 35.11.2 35.12.2 35.13 35.30.11 35.30.14 35.30.2 35.30.3 36.00.1 37.00 49.41.1 52.10.9 52.21.11 55.10 61.10.1 61.90.9 63.11.1 68.20.1 68.20.29 68.32.1 71.20.3 77.32 81.10 81.29.2 96.09.9 35.11 35.11.3 35.11.4 35.12 35.14 35.22 35.30.1 35.30.4 35.30.5 36.00 38.22.11 62.01 62.02 62.02.3 62.02.4 62.03.1 62.03.11 62.03.12 62.03.13 62.09 63.11 63.11.9 63.12 66.19 66.19.6 71.11 71.12 82.99 85.30 85.42 95.11 95.12;https://checko.ru/company/pao-tgk-1-1057810153400;https://checko.ru/company/1057810153400/activity
5036074848;"ООО """"ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";188561, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, М.Р-Н СЛАНЦЕВСКИЙ, Г.П. СЛАНЦЕВСКОЕ, Г. СЛАНЦЫ, Ш. КИНГИСЕППСКОЕ, Д. 1, ПОМЕЩ. 1;heidelbergcement.ru;Хаджийски Антон Николаев;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;20,5 млрд;2023;;18;23.51 68.20.1 68.20.21 69.20.2 77.11 77.39.11 23.20 23.69 37.00 46.13.2 46.73.6 47.52.7 52.10 55.10 70.10.1 70.10.2 70.22 71.20;https://checko.ru/company/haydelbergcement-rus-1065074065836;https://checko.ru/company/1065074065836/activity
5501023216;"АО """"ОМСКИЙ КАУЧУК";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКИЙ КАУЧУК""";г Омск, пр-кт Губкина, д 30;web-muza.ru;Иванилов Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;14,4 млрд;2021;;46;20.14.2 19.20.9 20.11 20.14.1 20.14.6 20.14.7 20.17 28.99.9 33.13 35.30.11 36.00.2 37.00 43.12.1 46.90 52.10.21 52.21.19 56.29.2 68.20.29 80.20 01.70 19.20 20.59.4 22.21 28.22 33.12 35.13 35.30.3 39.00 41.20 46.19 47.19 49.4 52.10.23 56.29 61.10.1 68.20.2 71.11 71.12.1 71.20 71.20.1 72.19 73.11 73.20.1 86.21 86.90.4 93.11;https://checko.ru/company/omsky-kauchuk-1025500520297;https://checko.ru/company/1025500520297/activity
5606001611;"ООО """"ММСК";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДНОГОРСКИЙ МЕДНО-СЕРНЫЙ КОМБИНАТ""";Оренбургская обл, г Медногорск, ул Заводская, д 1;;Исхаков Ильфат Ильдусович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;7,7 млрд;2023;;22;24.44 20.11 20.13 49.41.1 49.41.2 07.29 24.41 28.91 28.92 41.20 42.99 43.13 46.72.22 46.72.23 46.75 46.77 49.20 49.4 52.24.2 71.12 71.20.1 85.30;https://checko.ru/company/mmsk-1025600752726;https://checko.ru/company/1025600752726/activity
6623000708;"ОАО """"ВГОК"""" (ИНН 6623000708)";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫСОКОГОРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";Свердловская обл, г Нижний Тагил, ул Фрунзе, д 17;vgok.su;Гукасян Асатур Апетович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;BANKRUPT;5,9 млрд;2025;;31;07.10.3 07.29.92 08.11.2 08.12.1 35.30.14 36.00.2 46.71.9 46.77 46.90 49.20.9 49.41.2 61.10.1 68.20.29 77.39.11 93.11 07.10 07.10.1 07.10.2 07.29.1 23.99.3 28.92 35.12 37.00 41.20 49.20 56.29 64.99.11 68.20.2 71.12.3 77.39 86.90.4;https://checko.ru/company/vgok-1026601366626;https://checko.ru/company/1026601366626/activity
5615002700;"ПАО """"ОРСКНЕФТЕОРГСИНТЕЗ";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРСКНЕФТЕОРГСИНТЕЗ""";Оренбургская обл, г Орск, ул Гончарова, д 1А;ornpz.ru;Дудников Юрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;30,5 млрд;2025;;61;19.20.1 20.11 33.12 35.13 35.30.14 36.00.2 37.00 52.29 55.90 61.10.1 62.09 68.20.29 77.39.11 82.99 18.11 19.20 20.13 20.14.7 23.99.3 27.32 28.13 33.13 33.20 35.11 35.12 35.30.4 35.30.5 36.00 38.11 38.21 41.20 45.20 46.71 49.20 49.3 49.4 49.50 49.50.11 49.50.12 49.50.22 52.10 55.20 58.14 64.99 68.10.1 68.20 69.20 71.1 71.12.5 71.12.6 71.20.1 73.20 73.20.1 77.11 77.33 80.20 84.25.9 85.41 85.42 91.01 93.19;https://checko.ru/company/pao-orsknefteorgsintez-1025601998498;https://checko.ru/company/1025601998498/activity
2465000141;"АО """"РУСАЛ КРАСНОЯРСК";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАЛ КРАСНОЯРСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД""";г Красноярск, ул Пограничников, зд 40;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;ACTIVE;82,4 млрд;2021;;46;24.42 19.20.9 20.11 20.13 23.99 33.12 35.30.11 36.00.1 37.00 46.12.2 46.69.2 46.71.9 46.72 46.77 46.90 52.10.9 52.21.19 52.29 68.20.1 68.20.29 71.20.1 19.20 23.99.4 35.12 36.00.2 38.32.3 38.32.4 43.99 46.12.22 46.72.2 46.72.22 49.3 49.41.1 52.10 55.90 58.13 60.10 61.10 61.10.9 70.22 77.39.12 81.29.9 84.25.1 85.42.9 86.10 86.23;https://checko.ru/company/rusal-krasnoyarsk-1022402468010;https://checko.ru/company/1022402468010/activity
2710008167;"ООО """"БАМсервис";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАМСЕРВИС""";Хабаровский край, Верхнебуреинский р-н, рп Новый Ургал, ул Артема, д 6;;Стародумов Сергей Александрович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;0;2022;;11;35.30.14 20.11 25.21.1 33.12 35.30.2 35.30.4 35.30.5 36.00.1 36.00.2 37.00 71.20.1;https://checko.ru/company/bamservis-1142728001239;https://checko.ru/company/1142728001239/activity
2426003607;"ООО """"НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";Красноярский край, Мотыгинский р-н, поселок Новоангарск, ул 1-й квартал, д 1, офис 7;nokgroup.ru;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""НОК ГРУПП""";;ACTIVE;56,5 млрд;2025;;46;07.29.5 07.29.99 33.12 33.14 35.11.1 35.30.14 36.00.1 41.10 43.21 46.71.1 46.71.2 46.90 49.41.1 50.40.1 52.29 55.90 56.29.2 68.20.29 71.20.3 77.39.29 81.21.9 85.42.9 02.10 02.20 07.29.41 07.29.9 16.10 23.63 24.41 35.11 41.20 43.12 43.2 43.3 46.72 46.72.22 46.72.23 46.73 46.9 49.4 49.41 50.30 50.40 56.29 71.12.3 71.20.1;https://checko.ru/company/novoangarsky-obogatitelny-kombinat-1032401345547;https://checko.ru/company/1032401345547/activity
7530000048;"ПАО """"ППГХО";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИАРГУНСКОЕ ПРОИЗВОДСТВЕННОЕ ГОРНО-ХИМИЧЕСКОЕ ОБЪЕДИНЕНИЕ""";Забайкальский край, г Краснокаменск, пр-кт Строителей, д 11;priargunsky.armz.ru;Киселев Иван Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;39,8 млрд;2025;;44;20.13 05.20.11 35.11.1 35.13 35.30.11 35.30.3 46.90 68.32.1 85.41.91 07.21.11 08.12 20.11 24.51 24.52 24.53 24.54 25.62 25.73 28.30 28.92 33.12 33.14 33.20 36.00.2 37.00 38.22.12 38.32 42.99 46.71.2 49.20 49.31.21 49.4 55.10 58.13 68.10 68.20 68.32 71.12.3 77.11 77.39.1 86.90.4 90.04.3 91.02 91.03;https://checko.ru/company/pao-ppgho-1027501067747;https://checko.ru/company/1027501067747/activity
7536125117;"ООО """"ХАРАМПУРНЕФТЕГАЗ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРАМПУРНЕФТЕГАЗ""";629830, ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ, Г. ГУБКИНСКИЙ, ТЕР ПАНЕЛЬ 1, Д. 3, ПРОИЗВОДСТВЕННАЯ БАЗА №0028 ЭТАЖ 2 КАБИНЕТ №9;;Королев Александр Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;17,9 млрд;2020;;33;06.10.1 06.10.3 06.20.1 08.12.1 35.30.14 36.00.2 38.11 46.63 49.50.11 55.90 68.20.29 68.32.2 77.39.29 06.20 08.92.1 09.10 35.11 35.14 36.00.1 37.00 43.13 43.99 46.71 46.71.3 46.71.4 68.20.2 70.10 71.12 71.12.12 71.12.3 71.12.41 71.12.45 71.12.9;https://checko.ru/company/harampurneftegaz-1127536001262;https://checko.ru/company/1127536001262/activity
5003026493;"ООО """"ГАЗПРОМ БУРЕНИЕ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ БУРЕНИЕ""";г Москва, ул Намёткина, д 12А;ekogeos.ru;Огородов Алексей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;106,9 млрд;2024;;33;09.10.1 55.90 68.20.29 08.12.1 09.10 09.10.2 09.10.9 25.11 28.92 35.11 35.12 41.20 42.11 42.12 43.11 43.12.3 43.21 43.99 43.99.1 43.99.7 46.71 49.3 49.4 61.10 63.11 63.11.1 71.11.1 71.12.2 71.12.3 71.12.4 71.12.45 71.12.53 72.19;https://checko.ru/company/gazprom-burenie-1028900620319;https://checko.ru/company/1028900620319/activity
4212030766;"ООО  """"Шахта им. С.Д. Тихова";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАХТА ИМ.С.Д.ТИХОВА""";Кемеровская область - Кузбасс, Ленинск-Кузнецкий р-н, г Ленинск-Кузнецкий, ул Зварыгина, д 18А;;Харченко Владимир Федорович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;LIQUIDATED;9,4 млрд;2022;;16;05.10.1 01.1 01.2 05.10.14 05.10.15 05.10.16 41.2 41.20 46.19 46.21 46.9 49.20 52.24 56.29 56.29.2 71.12.3;https://checko.ru/company/sisdt-1104212000881;https://checko.ru/company/1104212000881/activity
1106013435;"ООО """"БУРСЕРВИС";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУРСЕРВИС""";Респ Коми, г Усинск, ул Комсомольская, д 23;burservis.ru;Пинигин Илья Игоревич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;53,2 млрд;2025;;49;09.10.1 06.10.1 06.10.2 06.20 09.10.2 09.10.3 09.10.4 09.10.9 20.13 20.14 20.59 32.12.1 38.11 38.12 38.21 38.22 38.22.9 38.32.59 43.13 46.12 46.19 46.63 46.69.9 46.72.23 46.75.2 52.29 58.19 62.01 62.09 63.11 63.11.1 68.20 70.22 71.11.1 71.12.3 71.20.1 71.20.3 71.20.9 73.20.1 74.30 77.11 77.39.1 77.39.21 77.39.22 77.39.23 77.39.25 82.19 85.42 86.90.9;https://checko.ru/company/burservis-1021100896618;https://checko.ru/company/1021100896618/activity
7736050003;"ПАО """"Газпром";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ""";г Санкт-Петербург, Лахтинский пр-кт, д 2 к 3 стр 1;gazprom.ru;Миллер Алексей Борисович;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;ACTIVE;;;;56;46.71.4 06.10.3 06.20.1 19.20.9 35.21 35.23 35.30.11 45.20.2 45.31.1 46.71.3 46.71.5 46.71.9 46.77 46.90 47.19 49.32 49.50.21 52.10.22 52.21.29 55.10 55.90 68.20.29 68.32.2 77.11 77.39.11 80.10.1 82.99 86.90.9 06.10 06.10.1 06.20 09.10 35.2 35.22 41.20 42.21 42.22.1 43.13 46.71 49.50.1 49.50.2 64.99 66.11.1 66.19 70.10.2 70.22 71.1 71.12.3 71.12.43 71.12.45 71.12.5 71.12.6 72.19 84.22 85.23 85.42.9;https://checko.ru/company/pao-gazprom-1027700070518;https://checko.ru/company/1027700070518/activity
0273010086;"АО """"УМКК";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УФИМСКИЙ МЯСОКОНСЕРВНЫЙ КОМБИНАТ""";г Уфа, ул Трамвайная, д 4А;prodo.ru;Ардисламов Ирек Анфарович;ДИРЕКТОР;ACTIVE;2,5 млрд;2025;;43;10.13.2 10.13.1 10.13.3 10.13.4 10.13.6 35.30.14 36.00.1 37.00 46.32 46.90 68.20.29 77.39.29 10.11.1 10.11.2 10.11.3 10.11.4 10.11.5 10.12 10.12.1 10.12.2 10.12.3 10.12.4 10.12.5 10.13 10.41.1 10.91 33.12 35.12 35.30.1 35.30.2 36.00.2 43.21 46.32.1 46.32.2 46.32.3 47.22.1 47.22.2 47.22.3 47.91.2 49.3 49.41.2 68.20.2 77.39.2;https://checko.ru/company/umkk-1020202392187;https://checko.ru/company/1020202392187/activity
7450001007;"ПАО """"ЧМК";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";г Челябинск, ул Павелецкая 2-я, д 14;mechel.ru;Капнин Владимир Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;124,4 млрд;2018;;68;24.10.6 18.12.9 18.13 20.11 23.70.1 23.99 24.10.11 24.10.21 24.10.3 24.10.4 24.10.7 24.10.9 32.99.9 35.21 35.22 35.30.11 35.30.14 35.30.2 36.00.2 37.00 38.32.3 46.90 49.41.2 52.21.11 55.10 55.20 61.10.1 62.09 63.99.11 64.99.6 68.20.1 68.20.29 70.22 71.12.13 85.30 91.01 16.10 16.10.1 16.10.9 16.23.1 16.24 24.1 24.10 24.10.14 24.10.2 24.10.5 24.31 24.33 25.11 28.91.3 33.12 35.11.1 35.2 35.30 35.30.1 36.00.1 41.20 42.21 42.22.1 42.22.2 49.20 49.50.2 52.10 68.20.2 71.11.1 71.12.1 71.12.45 85.42.9;https://checko.ru/company/pao-chmk-1027402812777;https://checko.ru/company/1027402812777/activity
