employer;hits;queries;agency;profile_match
Ново-Рязанская ТЭЦ, Рязанский филиал;1;начальник компрессорной станции;;да
ОАО СМОЛЕНСКИЙ ЗАВОД РАДИОДЕТАЛЕЙ;1;начальник компрессорной станции;;да
ФГУП НИЦ Курчатовский институт - ВИАМ;1;начальник компрессорной станции;;
ООО Реиннольц;1;начальник компрессорной станции;;
Южная нефтяная компания;1;начальник компрессорной станции;;да
"ООО ""Башкирская генерирующая компания"" (Теплогенерация)";1;начальник компрессорной станции;;да
ООО НТЦ Геотехнокин, филиал в Нижневартовске;1;начальник компрессорной станции;;
АО Русская медная компания;1;начальник компрессорной станции;;
ДОМИНАНТ ГК;1;начальник компрессорной станции;;
Сибур;1;начальник компрессорной станции;;
АО Васильевский хлебозавод;1;начальник компрессорной станции;;да
"ТЦ ""СпортХит"", аренда офисов";1;начальник компрессорной станции;;
ПАО «Газпром нефть» Энергетика и автоматизация;1;начальник компрессорной станции;;да
ООО ГСП-7;1;начальник компрессорной станции;;
ООО Газпром добыча Иркутск;1;начальник компрессорной станции;;да
ООО Финансово-промышленная компания Барнаул РТИ;1;начальник компрессорной станции;;
АО Криогаз;1;начальник компрессорной станции;;да
ООО Газпром Теплоэнерго Московская область;1;начальник компрессорной станции;;да
ООО Удоканская медь, Механика/ремонт, обслуживание, монтаж;1;начальник компрессорной станции;;
ЕВРАЗ. Руководители и эксперты на предприятии;1;начальник компрессорной станции;;
ООО Челябинский Хладокомбинат №1;1;начальник компрессорной станции;;да
ПАО МОСЭНЕРГО;1;начальник компрессорной станции;;да
АО Авиаагрегат;1;начальник компрессорной станции;;
