seriya;princip;vid;vstrech;innov;ssylok;ssylki;citata
ТВ-175-1,6;центробежный;воздуходувка;63;8;25;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07201-2019 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-19517-2017 | https://zakupki.mos.ru/need/5510077;1571 0268036071 есть ТВ-175-1,6 | Р-10/1, центробежная воздух 21.06.2022 заключение ЭПБ № 41-ТУ-38414-2022 Турбовоздуходувка центробежная ТВ-175-1,6 по
К-101;центробежный;компрессор;59;9;32;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-13661-2020 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-26392-2020 | https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-900523-2026;1802 0274051582 есть К-101 | Л-35-11/1000 не установлен среда не названа 20.04.2018 заключение ЭПБ № 41-ТУ-16229-2018 Отпарная колонна, поз. К-101
ТВ80-1,6;центробежный;компрессор;57;9;25;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00646-2014 | https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-02150-2015 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2f15bf83-70e9-447b-bbc7-27e95155186b_ae8d9e8a-378b-49a6-8481-f848ac6ee31e&infoGuid=2f15bf83-70e9-447b-bbc7-27e95155186b;994 0268000188 планировал ТВ 80-1,6 центробежная 08.2023 план 2220648283 позиция 73, сумма 968 666,67 ₽ Капитальный ремонт турбокомпрессора ТВ 80-1,6 (1шт.
К-905;центробежный;компрессор;57;2;24;https://www.tender.pro/api/tender/576396/view_public | https://www.tender.pro/api/tender/570528/view_public | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-06167-2017;5282 2124009521 покупает К-905 центробежная по серии 15.05.2025 тендер 1044278 Проведение ЭПБ проектной документации № 27123-851 «Монтаж фильтров сист
К-2;центробежный;компрессор;56;14;43;https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-30885-2024 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-14675-2022 | https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-07075-2016;ТУ-332319-2025 Заключение экспертизы промышленной безопасности на техническое устройство "Холодильник 600ТП-16-М1/25Г-6-К-2, Х-121, зав. № 10578, рег. № 00149", установка № 4 (Рифо
ТВ-200-1,25;центробежный;воздуходувка;56;1;14;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-10453-2014 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-00237-2015 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-02664-2023;37925 7116000066 есть ТВ-200-1,25, центробежная, вид по слову воздух 06.03.2023 заключение ЭПБ № 11-ТУ-02664-2023 техническое устройство: воздуходувку ТВ
К-345-91-1;центробежный;компрессор;54;3;21;https://etpgpb.ru/procedures/etp/258667-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-na-pao-uralkuz-soglasno-tz/ | https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-35150-2024 | https://etpgpb.ru/procedure/tender/etp/258667-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-na-pao-uralkuz-soglasno-tz/;15085 5607019523 есть К-345-91-1 центробежная воздух 15.06.2020 заключение ЭПБ № 49-ТУ-20481-2020 Воздушный турбокомпрессор К-345-91-1 №2 ККЦ АО «Уральс
Ц4-70;центробежный;воздуходувка;53;11;43;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-10508-2014 | https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-05503-2017 | https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-01434-2024;1987 0274051582 есть Ц4-70 | ПВ-31 не установлен среда не названа 19.02.2018 заключение ЭПБ № 41-ТУ-08398-2018 Вентиляционная установка Ц4-70 №2,5
К-1700-61-1;центробежный;компрессор;53;7;16;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-09642-2024 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-03771-2023 | https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-13660-2017;1035 0268008010 есть К-1700-61-1 центробежная по серии среда не названа 15.11.2018 заключение ЭПБ № 41-ТУ-45492-2018 Компрессор типа К-1700-61-1 поз. 23
ТВ-80;центробежный;компрессор;53;9;22;https://www.tender.pro/api/tender/678858/view_public | https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-19738-2019 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=25ce208c-81af-4985-8c18-9b537bb79382_51519588-618f-4488-b883-8f082f2adb45&infoGuid=25ce208c-81af-4985-8c18-9b537bb79382;10611 3808118560 планировал ТВ-80 центробежная 03.2023 план 2220630448 позиция 1432, сумма 500 000,00 ₽ Поставка запчастей прочих компрессоров в частност
К-400-51-2;центробежный;компрессор;52;3;26;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26677-2022 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06908-2018 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-16240-2017;1535 0268036071 есть К-400-51-2 | ИП-3-4-5, центробежная среда не названа 25.08.2021 заключение ЭПБ № 41-ТУ-41810-2021 Турбокомпрессор центробежный тип
ЦК-135/8М1;центробежный;компрессор;52;6;16;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-16328-2021 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-02545-2023 | https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-23847-2018;3045 1102054991 есть ЦК-135/8М1, | КМ-01В | Ш40-4-18/4 центробежная газ или иная среда 14.01.2020 заключение ЭПБ № 38-ТУ-00267-2020 техническое устройс
К-601;центробежный;компрессор;52;2;17;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-15352-2020 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-31896-2020 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-30200-2020;14757 5501041254 есть К-601 | Н-602 | КТ-1/1 | С-001 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 27.11.2020 заключе
ТВ-200-1,12;центробежный;компрессор;50;5;13;https://monitor-pb.ru/conclusion/23-%D0%A2%D0%A3-429637-2025 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-05985-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-30773-2019;1473 0268008010 есть ТВ-200-1,12 | ТВ-23/3, центробежная среда не названа 24.07.2019 заключение ЭПБ № 41-ТУ-30682-2019 Турбокомпрессор типа ТВ-200-1,12 
К-3000-61-1;центробежный;компрессор;50;3;15;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-15371-2017 | https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-20282-2023 | https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-14060-2023;11434 4218000951 есть К-3000-61-1, центробежная среда не названа 01.11.2019 заключение ЭПБ № 68-ТУ-27657-2019 техническое устройство: на центробежный ком
ТВ-80-1,2;центробежный;воздуходувка;48;2;15;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-45083-2017 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07275-2021 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37256-2022;1568 0268036071 есть ТВ-80-1,2 | Ж-8-9 центробежная воздух 15.06.2022 заключение ЭПБ № 41-ТУ-37251-2022 Турбовоздуходувка центробежная ТВ-80-1,2 поз.3
К-3000-63-1;центробежный;компрессор;48;1;13;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-03403-2018 | https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-13621-2017 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-671168-2026;12420 4823006703 есть К-3000-63-1 центробежная по серии воздух 13.12.2016 заключение ЭПБ № 13-ТУ-12842-2016 Воздушный компрессор К-3000-63-1 инв.№17499 с
К354-101-1;центробежный;компрессор;48;1;24;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-12736-2020 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-55328-2020 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-15279-2018;30684 8608048498 есть К 354-101-1 центробежная по серии среда не названа 20.07.2015 заключение ЭПБ № 58-ТУ-24954-2015 компрессор К 354-101-1 зав№ 9187 ОО
К2;не установлен;компрессор;47;5;40;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-10161-2024 | https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-00633-2019 | https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-09964-2024; установлен среда не названа 28.02.2019 заключение ЭПБ № 25-ТУ-01484-2019 арматуры устьевые АУЭ 140-60, АФК 1Э 65х21 ХЛ-К2, АУЭ 140-60, АФК2Э 65х21 К2ХЛ, АУШГН 65х140 КХЛ, АУЭ 140-
К-500-61-1М;центробежный;компрессор;46;1;12;https://monitor-pb.ru/conclusion/69-%D0%A2%D0%A3-01369-2016 | https://monitor-pb.ru/conclusion/69-%D0%A2%D0%A3-01298-2019 | https://monitor-pb.ru/conclusion/69-%D0%A2%D0%A3-01374-2016;23420 7530000048 есть К-500-61-1М центробежная среда не названа 18.11.2019 заключение ЭПБ № 69-ТУ-01238-2019 турбокомпрессор К-500-61-1М зав. № 500, инв.
ТВ-150-1,12;центробежный;воздуходувка;45;2;16;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-09727-2018 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-10942-2021 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-02878-2017;4503 1651000010 есть ТВ-150-1,12 центробежная газ или иная среда 20.06.2025 заключение ЭПБ № 43-ТУ-07970-2025 Заключение № 646-4608-2024 экспертизы пром
ТВ-350-1,06;центробежный;воздуходувка;45;3;15;https://www.tender.pro/api/tender/899275/view_public | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-37914-2025 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-13163-2020;ый запрос предложений на поставку корпуса стойки в сборе с полумуфтой и рабочего колеса для воздушного турбокомпрессора ТВ-350-1,06 для ООО "Промлит" (id899275) https://www.tender.
К-525;центробежный;компрессор;45;9;11;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-15697-2022 | https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-00168-2016 | https://ссылки;6584 2457061937 есть К-525 центробежная среда не названа 09.03.2023 заключение ЭПБ № 01-ТУ-05093-2023 Заключение экспертизы промышленной безопасно
ТВ-500-1,08;центробежный;воздуходувка;44;3;11;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07369-2018 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-16908-2018 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-36628-2024;14859 5501041254 есть ТВ-500-1,08 | М-1В | В-207/1, центробежная воздух 21.04.2021 заключение ЭПБ № 61-ТУ-08779-2021 техническое устройство – турбокомпре
К-3;центробежный;компрессор;42;15;37;https://www.tender.pro/api/tender/1102376/view_public | https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-23076-2023 | https://www.tender.pro/api/tender/1125473/view_public; «Линия 21/231 от линии 280/201 до линии 21/203 линия 21/303 от Н-311 А, В до линии 21/К1 линия 21/301 от уровнемеров К-3 https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-17643-202
К-10;центробежный;компрессор;41;8;25;https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-17915-2022 | https://monitor-pb.ru/conclusion/25-%D0%97%D0%A1-09501-2024 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-18673-2022;3251 1102057865 есть Н 11/1,2 | К-10 | Л-200/04, объект — трубопровод или сооружение, машина лишь упомянута среда не названа 02.11.2024 заключение ЭПБ № 25-
