marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
DF-341А;DF341А;DF-341А;Л-ЦК;да;1;1;осушитель;регулярка;Осушитель воздуха поз. 32 DF-341А, зав.№1574А, рег.№32005 Производство ароматических углеводородов, секция 200-300;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-46260-2015
DF-341В;DF341В;DF-341В;Л-ЦК;да;1;1;осушитель;регулярка;Осушитель воздуха поз. 32 DF-341В, зав.№1575А, рег.№32006 Производство ароматических углеводородов, секция 200-300;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-46263-2015
ОСВ-50/20-В;ОСВ50/20В;ОСВ-50/20-В;К-Ц/Ц-К;да;1;1;осушитель;регулярка;радиатор осушителя сжатого воздуха ОСВ-50/20-В зав. № 1, рег. № 1276 на площадке производства легковых, грузовых, сельскохозяйственных покрышек;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-06448-2016
А-1-1;А11;А-1-1;К-Ц-Ц;да;1;1;осушитель;регулярка;Осушитель сжатого воздуха с безнагревной адсорбцией, № техн. А-1-1,зав. № 1052829, инв. № 212222;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-00943-2022
КО-1;КО1;КО-1;К-Ц;да;1;1;осушитель;регулярка;"Колонна осушителя воздуха КО-1; зав. №16235, рег. №369 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18138-2019
КО-2;КО2;КО-2;К-Ц;да;1;1;осушитель;регулярка;"Колонна осушителя воздуха КО-2; зав. №16234, рег. №370 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18140-2019
КО-3;КО3;КО-3;К-Ц;да;1;1;осушитель;регулярка;"Колонна осушителя воздуха КО-3; зав. №16233, рег. №371 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18142-2019
КО-4;КО4;КО-4;К-Ц;да;1;1;осушитель;регулярка;"Колонна осушителя воздуха КО-4; зав. №16232, рег. №372 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18144-2019
ФО-1;ФО1;ФО-1;К-Ц;да;1;1;узел: осушитель;регулярка;"Фильтр осушителя воздуха ФО-1; зав. №696496, рег. №365 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18152-2019
ФО-2;ФО2;ФО-2;К-Ц;да;1;1;узел: осушитель;регулярка;"Фильтр осушителя воздуха ФО-2; зав. №696504, рег. №366 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18155-2019
ФО-3;ФО3;ФО-3;К-Ц;да;1;1;узел: осушитель;регулярка;"Фильтр осушителя воздуха ФО-3; зав. №696502, рег. №367 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18158-2019
ФО-4;ФО4;ФО-4;К-Ц;да;1;1;узел: осушитель;регулярка;"Фильтр осушителя воздуха ФО-4; зав. №696498, рег. №368 ООО «РН-Туапсинский НПЗ»";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-18160-2019
ЭД-500;ЭД500;ЭД-500;К-Ц;да;1;1;осушитель;регулярка;техническое устройство: Баллон-осушитель воздуха зав. №3722, объекта «Дизельная электростанция ЭД-500 компрессорного цеха №3 КС Петровск» инв. №139098;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-06462-2021
V-404A;V404A;V-404A;Л-ЦЛ;да;1;1;осушитель;регулярка;осушитель приборного воздуха V-404A, зав. № б/н, рег. № 1, место установки: установка ЭЛОУ АТ-1, АО «Антипинский НПЗ»;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-16231-2020
V-404В;V404В;V-404В;Л-ЦК;да;1;1;осушитель;регулярка;осушитель приборного воздуха V-404В, зав. № б/н, рег. № 2, место установки: установка ЭЛОУ АТ-1, АО «Антипинский НПЗ»;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-16240-2020
V-408А;V408А;V-408А;Л-ЦК;да;1;1;осушитель;регулярка;осушитель технического воздуха V-408А, зав. № б/н, рег. № 3, место установки: установка ЭЛОУ АТ-1, АО «Антипинский НПЗ»;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-16244-2020
V-408В;V408В;V-408В;Л-ЦК;да;1;1;осушитель;регулярка;осушитель технического воздуха V-408В, зав. № б/н, рег. № 4, место установки: установка ЭЛОУ АТ-1, АО «Антипинский НПЗ»;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-16254-2020
РТН 1;РТН1;РТН 1;К Ц;да;1;1;осушитель;регулярка;рег.№ А19-00375-0229, Сосуд, работающий под давлением – осушитель сжатого воздуха, зав. № 2748, рег. вн. уч. № 4-1-117, учетный № РТН 1614, инв. № 000403854;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-21395-2020
ZT55-8,6-50;ZT558.650;ZT55-8,6-50;ЛЦ-Ц,Ц-Ц;нет;1;1;компрессор;регулярка;"Компрессор марки ZT55-8,6-50 и осушитель воздуха марки BD 150CE, производства Atlas Copco Airpower N. V., вводимых в эксплуатацию на ООО ""Полярный кварц"", г. Нягань";https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-01431-2015
V13А;V13А;V13А;ЛЦК;да;1;1;осушитель;регулярка;техническое устройство «Осушитель воздуха, зав. № 4835/1, рег. № 1301, поз. 100-V13А», применяемое на опасном производственном объекте ООО «ЛУКОЙЛ-Нижегороднефтеоргсинтез»;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-00633-2025
