nazvanie;inn;istochnik;prichina
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАН ТРАК ЭНД БАС РУС""";7820325601;декларации ФСА;юрлицо ликвидировано (LIQUIDATING)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВА-ПРОМИНЖИНИРИНГ""";7842468089;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИГ ДАЧМЕН""";7704266056;декларации ФСА;кандидатов 3, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""ДжиИ Рус""";7705574092;декларации ФСА;кандидатов 3, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""ДжиИ Рус""";7705574092;декларации ФСА;кандидатов 3, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""АВИА МОТОРС РУС""";5029143032;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
Общество с ограниченной ответственностью «ДжиИ Рус»;7705574092;декларации ФСА;кандидатов 3, ИНН не подтверждён второй стороной
Общество с ограниченной ответственностью «Сименс»;9728127190;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ДЖИИ РУС»;7705574092;декларации ФСА;кандидатов 3, ИНН не подтверждён второй стороной
ООО «ДжиИ Рус»;7705574092;декларации ФСА;кандидатов 4, ИНН не подтверждён второй стороной
"""Рус-КР""";7736645755;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
Общество с ограниченной ответственностью «ПРОМФИЛЬТРАЦИЯ итальянские технологии»;7718546328;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
ООО «Промсервис»;5957819445;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
ОАО «КРИОГЕНМАШ»;5001019109;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
"ООО ""Промимпорт""";7838115700;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
ООО «Фудзи Моторс».;7710428072;декларации ФСА;кандидатов 4, ИНН не подтверждён второй стороной
ОАО «КРИОГЕНМАШ»;5001019109;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
ООО «Сфера»;9729301980;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
ООО «Аква Стар»;4401058132;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""Запад СПб""";7811490486;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
ООО «Техсервис»;3444115785;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""Запад Спб""";7811490486;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""Арго""";2016003995;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""Райпищекомбинат ""Красноармейский""";2336005590;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
"ОАО ""Газпром нефтехим Салават""";0266008329;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
ОАО «КРИОГЕНМАШ»;5001019109;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
ООО «Донская Нива»;6161004720;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""Фудзи Моторс""";7710428072;декларации ФСА;кандидатов 4, ИНН не подтверждён второй стороной
"ОАО ""КРИОГЕНМАШ""";5001019109;декларации ФСА;юрлицо ликвидировано (LIQUIDATED)
ООО «Паскаль»;7725269347;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
ООО «Риверс»;7446054221;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""МАРС"" (ООО ""МАРС"")";5045016560;декларации ФСА;кандидатов 5, ИНН не подтверждён второй стороной
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ""";5217003990;Портал поставщиков, машины;кандидатов 5, ИНН не подтверждён второй стороной
МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №15;2806004364;Портал поставщиков, машины;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""ВК""";7730636874;Портал поставщиков, машины;кандидатов 5, ИНН не подтверждён второй стороной
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АЗИМУТ""";5011018009;Портал поставщиков, машины;юрлицо ликвидировано (LIQUIDATED)
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АЗИМУТ""";5011018009;Портал поставщиков, машины;юрлицо ликвидировано (LIQUIDATED)
