marka;forma;vstrech;innov;tip;chem_dobyta;primer;ssylka
95GC-1055 А;ЦЛ-Ц К;2;1;узел: компрессор;регулярка;Технологические трубопроводы ледяная вода с выкида компрессоров 95GC-1055 А/В к кондиционерам 95ЕС-1055 А/В, EW 95003 1/1;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11134-2024
12НА-22х6;ЦК-ЦКЦ;2;1;генератор кислорода;провайдер+регулярка;Центробежный полупогружной насос марки 12НА-22х6, Технологический индекс Н-26, зав. № 2489, Азотно-кислородная станция, цех№5 филиала ПАО АНК «Башнефть» «Башнефть-УНПЗ»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-10734-2024
95GC-1051 А;ЦЛ-Ц К;2;1;узел: компрессор;регулярка;Технологический трубопровод воды охлаждения от компрессоров 95GC-1051 А/В, 95GC-1052 в линию ER 95011, ER 95048 1/2-2/2 ER 95034 1/1, ER 95036 1/1, ER 95038 1/1., Техн. №103, рег. № б/н, зав. №б/н, эк;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02954-2024
ВDСВ 9;КЛК Ц;2;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности на техническое устройство: «Поршневой компрессор марки ВDСВ 9½×9½×5, тех.№ 95GC-1051В, зав.№1048665», Площадка производства ароматических углеводородов ;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42067-2023
BDCB 7.1/;Л Ц.Ц/;2;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности на техническое устройство: «Поршневой компрессор марки BDCB 7.1/4x7.1/4x8.1/2, тех.№ 20GC-211В, зав.№1048645», Площадка производства ароматических углев;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39027-2023
4ГМ10-28/43-56C;ЦКЦ-Ц/Ц-ЦЛ;2;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ №1580.1023 на техническое устройство, применяемое на опасном производственном объекте Компрессор поршневой 4ГМ10-28/43-56C, зав. №2, техн. №ПК-1/2, прин;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-05398-2023
1Г 32-80-4В;ЦК Ц-Ц-ЦК;2;1;воздуходувка;регулярка;Газодувка марки 1Г 32-80-4В, технологический индекс №801. В-501, зав. № 37585, применяется на площадке ПАО «Уфаоргсинтез», зарегистрированной в государственном реестре за № А41-00050-0001 как ОПО I кл;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-96835-2023
6000-306-LT;Ц-Ц-Л;2;1;воздуходувка;провайдер+регулярка;Газодувка марки 6000-306-LT, технологический индекс C703, зав. № 1778, применяется на площадке ПАО «Уфаоргсинтез», зарегистрированной в государственном реестре за № А41-00050-0001 как ОПО I класса опа;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-96853-2023
B2G-25/6/3Z;ЛЦЛ-Ц/Ц/ЦЛ;2;1;компрессор;регулярка;Поршневой компрессор марки B2G-25/6/3Z, технологический индекс СII3/4.6, зав. № 5431, применяется на площадке ПАО «Уфаоргсинтез», зарегистрированной в государственном реестре за № А41-00050-0001 как О;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-95894-2023
F2s 20/53;ЛЦЛ Ц/Ц;2;1;компрессор;провайдер+регулярка;"Поршневой компрессор марки F2s 20/53, техн. № В 3/2.2, зав. № 5448, инв. №4306 (Площадка ПАО ""Уфаоргсинтез"", Производство полиэтилена, объект 202-205, отделение компрессии (корп.203))";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-58515-2022
F2s-20/53;ЛЦЛ-Ц/Ц;2;1;компрессор;провайдер+регулярка;"Поршневой компрессор марки F2s-20/53, техн. № Д3/2.4, зав. № 5450, инв. №4308 (Площадка ПАО ""Уфаоргсинтез"", Производство полиэтилена, объект 202-205, отделение компрессии (корп.203))";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56760-2022
RB61D1/SP;ЛЦЛЦ/Л;2;1;воздуходувка;регулярка;"Газодувка марки RB61D1/SP, техн. № РК806-Р, зав. № 9500184, инвентарный № 76039 (Площадка ПАО ""Уфаоргсинтез"", Производство полипропилена, объект ПП, отделение гранулирования)";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-54376-2022
B2g-25/6.3.Z;ЛЦЛ-Ц/Ц.Ц.Л;2;1;компрессор;провайдер+регулярка;Компрессор типа B2g-25/6.3.Z, зав. №5430, тех. №СI 3/4.5., инв. №4314 ПАО «Уфаоргсинтез», отделение 203, объект 202-205 Производство полиэтилена ПАО «Уфаоргсинтез»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11232-2019
Буркхард Б;К К;2;1;компрессор;провайдер+регулярка;поршневой компрессор «Буркхард» Б, тех.№3/20.2, зав. №33978, отделение №203, объекта 202-205 ПАО «Уфаоргсинтез»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-16886-2018
PCL802/24 КС;ЛЦ/Ц К;2;1;воздуходувка;регулярка;ТПА ГПА №35 Ду 80-2шт. ГТК-10ИР с нагнетателем PCL802/24 КС-12, инв. №126075;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-04014-2022
UNILINE 92-0,55/1-09;Л Ц-Ц,Ц/Ц-Ц;2;1;воздуходувка;регулярка;"Технические устройства: Воздуходувка центробежная UNILINE 92-0,55/1-09, зав.No4007А1/10, техн. No4У151K02А (включая 2 маслонасоса); Воздуходувка центробежная UNILINE 92-0,55/1-09, зав. No4007А1/11, те";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-890293-2026
1P221UV001;ЦЛЦЛЦ;2;1;ресивер;регулярка;Технические устройства: ресивер воздуха КИП: 1P221UV001 (рег. № 193, зав. № 12243-2) «Площадка производства № 5 Астраханского ГПЗ», рег. № А19-10619-0067, I класс установка стабилизации конденсата и о;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-878399-2026
КИП 221 UV00;К Ц ЛЦ;2;1;ресивер;регулярка;Технические устройства: ресивер воздуха КИП 221 UV002, рег. No 196, зав. No 12242/2 «Площадка производства No 5 Астраханского ГПЗ»,рег. No А19-10619-0067, I класс установка У220 процесса стабилизации ;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-774558-2026
ROTUNI-130-0,6/1,09;Л-Ц-Ц,Ц/Ц,Ц;2;1;воздуходувка;регулярка;Техническое устройство: газодувка марки ROTUNI-130-0,6/1,09, поз. 4У151К03, зав. №1007А1/4 с основным и вспомогательными масляными винтовыми насосами типа SNH 120 R51U6-W22 поз. KU03 Р01А/В (установка;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-41176-2025
VDR 100-0,42/0,38-1,2;Л Ц-Ц,Ц/Ц,Ц-Ц,Ц;2;1;воздуходувка;регулярка;Заключение№ 85/24 -24 экспертизы промышленной безопасности на техническое устройство воздуходувка VDR 100-0,42/0,38-1,2, техн. № 06С-401, применяемая на установке У-07/08 цеха № 2 филиал «Оренбургский;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-85539-2024
2ГМ-16-20/42-60СМ2;ЦК-Ц-Ц/Ц-ЦКЦ;2;1;компрессор;регулярка;Техническое устройство поршневой компрессор марки 2ГМ-16-20/42-60СМ2, поз. ПК-2, зав. №71 (установка У-1.734, филиал Астраханский ГПЗ ООО «Газпром переработка» опасный производственный объект «Площадк;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-12202-2024
В3.2;КЦ.Ц;2;1;ресивер;регулярка;Заключение № 122-1/24-24 экспертизы промышленной безопасности на техническое устройство Ресивер воздуха В3.2, поз. №В-1, зав. №216-14, учет. №8945, инв. №305850, применяемое на территории Сливо-наливн;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-31690-2024
3У272UV004;ЦКЦЛЦ;2;1;ресивер;регулярка;ресивер воздуха, поз. 3У272UV004, зав. № 09198-3, рег. № 649, ресивер воздуха, поз. 3У272UV005, зав. № 09195-3, рег. № 650, ресивер воздуха, поз. 3У272UV015, зав. № 09192-3, рег. № 652, бачок, поз. Р0;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-09878-2024
2Р49UV001В;ЦКЦЛЦК;2;1;ресивер;регулярка;Ресивер воздуха КИП, поз. 2Р49UV001В, зав.№б/н, рег.№б/н, применяемое на установке У-141 (1Р), филиал Астраханский ГПЗ ООО «Газпром переработка» (опасный производственный объект «Площадка производства;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-02821-2023
2P 22 UV;ЦЛ Ц Л;2;1;ресивер;регулярка;Ресивер воздуха КИП, поз. 2P 22 UV 003, зав. № 12248/43, рег. № 236,применяемое на установке У-220 (2Р), филиал Астраханский ГПЗ ООО «Газпром переработка» (опасный производственный объект «Площадка пр;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-21050-2022
RBS 175/V, ЗА;Л Ц/Л, К;2;1;воздуходувка;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ НА ТЕХНИЧЕСКОЕ УСТРОЙСТВО: РОТОРНАЯ ВОЗДУХОДУВКА ROBUSCHI RBS 175/V, ЗАВ.№ 2206912, ПРИМЕНЯЕМАЯ НА ОПАСНОМ ПРОИЗВОДСТВЕННОМ ОБЪЕКТЕ - ШАХТА УГОЛЬНАЯ «ВО;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-937829-2026
CSC 60, С;Л Ц, К;2;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ НА ТЕХНИЧЕСКОЕ УСТРОЙСТВО: УСТАНОВКА КОМПРЕССОРНАЯ ВИНТОВАЯ СЕССАТО CSC 60, С ЗАВОДСКИМ № API 123073, ПРИМЕНЯЕМАЯ НА ОПАСНОМ ПРОИЗВОДСТВЕННОМ ОБЪЕКТЕ - ;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-10648-2024
2ВМ2,5-5/221, С;ЦКЦ,Ц-Ц/Ц, К;2;1;компрессор;регулярка;КОМПРЕССОРНАЯ УСТАНОВКА ВОЗДУШНАЯ 2ВМ2,5-5/221, С ЗАВОДСКИМ № 383, ПРИМЕНЯЕМАЯ НА ОПАСНОМ ПРОИЗВОДСТВЕННОМ ОБЪЕКТЕ-УЧАСТОК КИСЛОРОДНО-КОМПРЕССОРНЫЙ СП «СП ВМЗ» (IV КЛАСС ОПАСНОСТИ), АО «ВОРКУТАУГОЛЬ»;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-03535-2023
АФК 65-14 ХЛ;К Ц-Ц К;2;1;узел: воздуходувка;регулярка;"Арматура фонтанная, нагнетательная АФК 65-14 ХЛ, зав. № б/н; АФК-1Э2-65 К14 ХЛ, зав. № 133; АФК 1Э-65×210, зав. № б/н; АФК-1Э-65-14 ХЛ, зав. № б/н; месторождение: скв.№№23, 34, 35, 37. ОПО-Фонд скважи";https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-01696-2023
ДЭН «ШАХТЕР» 21110ШМ;К «К» ЦК;2;1;компрессор;провайдер+регулярка;Техническое устройство установка компрессорная винтовая ДЭН «ШАХТЕР» 21110ШМ, зав. № 7 (компрессор зав. №SC126697), техн. № б/н, местонахождение: ВС-2, НШ-1, НШПП «Яреганефть» ООО «ЛУКОЙЛ-Коми» ОПО Не;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-01314-2023
LF-10-10UV-250S;Л-Ц-ЦЛ-ЦЛ;2;1;компрессор;регулярка;"Компрессор воздушный LF-10-10UV-250S, зав.№ WCF437710, КЦДНГ №1, ПСВТ ""Инзырей""";https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-68988-2021
ABAC AIR COMPRESSORS;Л Л Л;2;1;ресивер;провайдер+регулярка;Ресивер компрессора (ABAC AIR COMPRESSORS), рег №412;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-29737-2021
АТПК-65-16-350, АФ;К-Ц-Ц-Ц, К;2;1;узел: воздуходувка;регулярка;арматуру фонтанную, нагнетательную АТПК-65-16-350, АФК 65х210, АФК 3 65х210, зав. №№ н/д, 2445, 15263, скв. №№ 8110, 191, 6011, куст №№ 127, 127, Усинское м-е, КЦДНГ-2, ТПП «ЛУКОЙЛ-Усинскнефтегаз» ООО;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-00720-2020
1277-5-5-0-AD;Ц-Ц-Ц-Ц-Л;2;1;воздуходувка;провайдер+регулярка;Заключение №416/22 экспертизы промышленной безопасности на техническое устройство: воздуходувка марки 1277-5-5-0-AD, техн. № GС-601А, зав. № Р000443, марки 1277-5-5-0-AD, техн. № GС-601В, зав. № Р0004;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-291254-2023
Ф 8.1, Ф;К Ц.Ц, К;2;1;узел: осушитель;регулярка;Фильтры-осушители Ф 8.1, Ф 8.2, зав. №№262, 266 Автоматической газораспределительной станции р.ц. Новошешминск, инв. № 9000027019;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-27937-2025
ФИ8.1-1, ФИ8;КЦ.Ц-Ц, КЦ;2;1;узел: осушитель;регулярка;Фильтры осушители ФИ8.1-1, ФИ8.1-2, ФИ8.1-3, ФИ8-1, зав. №№128, 127, 907, б/н, инв. № 9000027019;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-27820-2025
"Cooper Energy 3-1/4""х7";"Л Л Ц-Ц/Ц""КЦ";2;1;компрессор;провайдер+регулярка;"ЗАКЛЮЧЕНИЕ № 2025-УТНГП-104-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Горизонтальный поршневой компрессор Cooper Energy 3-1/4""х7"", зав.№1/1233, техн. № К-401В, эксплуатиру";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-489523-2025
"Cooper Energy 3-1/4""х7""3";"Л Л Ц-Ц/Ц""КЦ""Ц";2;1;компрессор;провайдер+регулярка;"ЗАКЛЮЧЕНИЕ № 2025-УТНГП-103-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: горизонтальный поршневой компрессор Cooper Energy 3-1/4""х7""3, зав. № 2/1233, техн. №К-401А, эксплуати";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-484598-2025
ГКН 2/2,5-17,4;К Ц/Ц,Ц-Ц,Ц;2;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ № 2025-УТНГП-154-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: газомотокомпрессор 10 ГКН 2/2,5-17,4, зав.№56, инв.№30540, техн.№45, применяемый на опасном производс;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-484603-2025
S.r.l «CRIS;Л.Л.Л «Л;2;1;компрессор;провайдер+регулярка;ЗАКЛЮЧЕНИЕ № 2025-УТНГП-365-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство – турбокомпрессор S.r.l «CRIS», зав.№ 146, техн. № Т702А, применяемое на опасном производственном объе;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-475092-2025
5ГВ 12/6М1У2;ЦК Ц/ЦКЦКЦ;2;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ № 2025-АзН-225-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство – установка компрессорная 5ГВ 12/6М1У2 зав.№94003, техн.№1, применяемое на опасном производственном объекте:;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-389893-2025
6МК-16/12,5-200М;ЦК-Ц/Ц,Ц-ЦК;2;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ № 2024-УТНГП-098-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Мембранный компрессор 1,6МК-16/12,5-200М, зав. № 780106, техн. № 8, применяемый на опасном производст;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-31981-2024
21ВХ280-7-2-3;ЦКЦ-Ц-Ц-Ц;2;1;компрессор;регулярка;Заключение № 2357/03-25 экспертизы промышленной безопасности на техническое устройство Компрессор винтовой марки 21ВХ280-7-2-3, поз. М-15/2, зав. № 3987 применяемое на опасном производственном объекте;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-738789-2026
S 125/4C-VCM;Л Ц/ЦЛ-Л;2;1;воздуходувка;регулярка;Заключение № 2025-0211-ТУ экспертизы промышленной безопасности на техническое устройство: Нагнетатель S 125/4C-VCM 200/E C-804А, техн. № С-804А, зав. № 05-13526, применяемое на опасном производственно;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-27762-2025
WS 1/070-А2;Л Ц/Ц-КЦ;2;1;компрессор;регулярка;Заключение № 2025-0332-ТУ экспертизы промышленной безопасности на техническое устройство: Компрессор поршневой WS 1/070-А2, техн. № С-705А, зав. № L 30941/16A, применяемое на опасном производственном ;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-27851-2025
1Y8 A8;ЦЛЦ ЛЦ;2;1;компрессор;регулярка;Заключение № 2024-0221-ТУ экспертизы промышленной безопасности на техническое устройство: Компрессор поршневой 1Y8 A8,6S техн.№ К-3201В, зав.№ 324650/2, применяемое на опасном производственном объекте;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-14450-2025
RO 6,3 TI;Л Ц,Ц Л;2;1;компрессор;регулярка;Заключение № 2024-0651-ТУ экспертизы промышленной безопасности на техническое устройство: Турбокомпрессор RO 6,3 TIG техн.№ С-120, зав.№ 481424, применяемое на опасном производственном объекте «Площад;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-22546-2024
ВЭЭ-20-1У-01;К-Ц-ЦК-Ц;2;1;ресивер;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство – ресивер воздуха ВЭЭ-20-1У-01 рег. №24430 филиала АО «Татэнерго» – Заинская ГРЭС;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-304543-2023
THG601BBGM4FBBNSNNN-10;ЛЦЛЦЛ-Ц;2;1;компрессор;регулярка;Поршневой компрессор марки THG601BBGM4FBBNSNNN-103, поз. М-1/1, зав. №84936КН (установка приема и хранения диеновых углеводородных фракций и эфиров (отд. БК-8/1, БК-10/2), производства парков приёма, ;https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-530291-2025
TWZ14.33/885.661/5;ЛЦ.Ц/Ц.Ц/Ц;2;1;компрессор;регулярка;Поршневой компрессор марки TWZ14.33/885.661/5, поз. М-100/1, зав. №К1600-10/А (установка изотермического хранения углеводородных фракций (отд. Б-1/1), производства парков приёма, хранения, отгрузки сы;https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-530345-2025
4В 1-5/9М;ЦК Ц-Ц/ЦК;2;1;компрессор;регулярка;"""Компрессор воздушной V-образный поршневой четырехцилиндровый 4В 1-5/9М, зав. №090534195, изготовленный ОАО ""Мелитопольский компрессор"", в 2005 году, расположенный по алресу: с/у ""Соленая Балка"", ЦДНГ";https://monitor-pb.ru/conclusion/33-%D0%A2%D0%A3-04410-2020
C2S-1.45;ЛЦЛ-Ц.Ц;2;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ № 600-03-НПО/25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Бустерный компрессор C2S-1.45, зав. № 31964, техн. № С3/1.10А», применяемое на опасном производственном объек;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-50230-2025
GM130L/DN300;ЛЦЛ/ЛЦ;2;1;воздуходувка;регулярка;ЗАКЛЮЧЕНИЕ № 601-03-НПО/25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Воздуходувка пневмотранспорта типа GM130L/DN300, зав. № 864142, техн. № G7/1.1.4.1A», применяемое на опасном ;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-98584-2025
GMa 11.3 HV;Л Ц.Ц Л;2;1;воздуходувка;провайдер+регулярка;Бустер механический (вакуумная-ротационная газодувка марки GMa 11.3 HV (зав. №61-206508-03 (870867), техн. №В-553);https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45690-2025
HBB 35/VLT;Л Ц/Л;2;1;воздуходувка;регулярка;Заключение № КН-2114-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте: Воздуходувка центробежная консольная HBB 35/VLT 30 (зав.№119272,;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-43123-2025
WRVi 255.110.58;Л Ц.Ц.Ц;2;1;компрессор;провайдер+регулярка;Заключение № КН-1065-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор винтовой WRVi 255.110.58 (зав.№5050687, техн.№ М-401),;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-30503-2024
АК-ФУУ - 80;К-К - Ц;2;1;компрессор;провайдер+регулярка;Заключение № КН-1138-23 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор поршневой УУ-образный АК-ФУУ - 80 (зав.№2721, техн.№ 1;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-319250-2023
4C3A-2.23;ЦЛЦЛ-Ц.Ц;2;1;компрессор;регулярка;Компрессор поршневой I каскада 4C3A-2.23 техн.№ С3/1.3В, зав.№ 31963;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-00178-2023
ТГ-300-1,6-В2-У2-Э;К-Ц-Ц,Ц-КЦ-КЦ-К;2;1;компрессор;регулярка;технические устройства, применяемого на опасном производственном объекте: Турбокомпрессор газовый ТГ-300-1,6-В2-У2-Э (зав.№22, техн.№ В-105/2), эксплуатируемый на ПАО «Казаньоргсинтез», Завод Органиче;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-280605-2022
С2S1.45;КЦЛЦ.Ц;2;1;компрессор;регулярка;Компрессор поршневой марки С2S1.45, зав. № 31964, тех. № С3/1.10А, установленный в цехе № 93-96 завод «Этилена», ПАО «Казаньоргсинтез», г. Казань, Республика Татарстан;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-12748-2021
В2g25.6,3z;КЦЛЦ.Ц,ЦЛ;2;1;компрессор;провайдер+регулярка;компрессор поршневой высокого давления В2g25.6,3z, Зав.№5436, Техн. №3/4.1, компрессор поршневой высокого давления В2g25.6,3z, Зав.№5437, Техн. №3/4.2, эксплуатируемые в цехе №503-505, завод «ПэВД», П;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06494-2020
CompAir 6125N-10AS;Л ЦЛ-ЦЛ;2;1;ресивер;провайдер+регулярка;Площадка станции насосной «Кропоткинская» магистрального нефтепровода. Сосуд, работающий под давлением, воздушный ресивер V=2,0 м3, зав. № 64057, рег. № 18918/А. Эксплуатирующая организация – АО «Касп;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-04209-2022
ТV2S3K-400/630;КЛЦЛЦЛ-Ц/Ц;2;1;компрессор;регулярка;поршневая компрессорная установка V4141 А/В (поршневой компрессор ТV2S3K-400/630 и поршневой компрессор ТV2S3K-400/270), инв.№1430201301 , установленную в ОАО «НАК» Азот», цех Аммиак-3 (отд.Аргон);https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-03444-2015
ТV2S3К-400/630;КЛЦЛЦК-Ц/Ц;2;1;компрессор;регулярка;техническое устройство: поршневая компрессорная установка V4141В (поршневой компрессор ТV2S3К-400/630 и поршневой компрессор ТV2S3К-400/270), эксплуатируемый в АО «НАК» Азот» цех Аммиак 3 (отд.Аргон) ;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-10010-2017
4Р-S/230;ЦК-Л/Ц;2;1;компрессор;провайдер+регулярка;компрессор поршневой типа 4Р-S/230 (техн.№ С-730);https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-01044-2015
АSD-1,25/2,1;КЛ-Ц,Ц/Ц,Ц;2;1;компрессор;регулярка;Поршневой компрессор АSD-1,25/2,1 технологический № 2;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-10758-2019
4HL1K-125/145;ЦЛЦЛ-Ц/Ц;2;1;компрессор;регулярка;Поршневой компрессор 4HL1K-125/145, тех№9/03-2;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-19961-2017
3НВ 4КТ-400/620;ЦК ЦК-Ц/Ц;2;1;компрессор;регулярка;Поршневой компрессор 3НВ 4КТ-400/620, техн. № 08/0300.3;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06356-2017
3HВ1КТ 200/430-25;ЦЛКЦК Ц/Ц-Ц;2;1;компрессор;регулярка;Поршневой компрессор 3HВ1КТ 200/430-25 тех. №07/0900./1, зав. №09214;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-05760-2018
HS2KNT-160/200-16-2;ЛЦЛ-Ц/Ц-Ц-Ц;2;1;компрессор;регулярка;поршневой компрессор HS2KNT-160/200-16-20тех. № В-112/3, зав. №13503;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-19364-2016
2НSI 200/270;ЦКЛ Ц/Ц;2;1;компрессор;регулярка;поршневой компрессор марки 2НSI 200/270, поз. В-102Б, зав. № 65357;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-25326-2019
4НВ 5К-400/620;ЦК ЦК-Ц/Ц;2;1;компрессор;регулярка;Поршневой компрессор 4НВ 5К-400/620 зав. № 150, техн. № 9/01-4, цех № 25;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06037-2014
3-ТСs 1,6-1,02/21;Ц-КЛ Ц,Ц-Ц,Ц/Ц;2;1;компрессор;провайдер+регулярка;Поршневой компрессор 3-ТСs 1,6-1,02/21 технологический № В-118/2, Цех№22;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-15231-2023
"7ВКГ; 6ГВ";"ЦК; ЦК";2;1;компрессор;провайдер+регулярка;"Компрессоры винтовые газовые 7ВКГ заводские №№ 12909, 12910, 12916, 12917, 12924, 12936, 89017; компрессоры винтовые газовые 6ГВ заводские №№ 88003, 90002, эксплуатируемые на опасном производственном ";https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-21537-2015
ЕКОМАК 132 QD;К Ц Л;2;1;компрессор;регулярка;Компрессор винтовой воздушный ЕКОМАК 132 QD поз. К-2, зав. № 132284;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-759591-2026
ЕКОМАК 160 QD;К Ц Л;2;1;компрессор;регулярка;Компрессор винтовой воздушный ЕКОМАК 160 QD VST поз. К-2, зав. № 160150;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-759561-2026
ESES7/7,5;ЛЦ/Ц,Ц;2;1;компрессор;регулярка;Компрессор воздушный винтовой ESES7/7,5 инв.№200299 ЦОиСК НМЗ;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-04978-2016
SPINNE.5.508-270ST;Л.Ц.Ц-ЦЛ;2;1;ресивер;провайдер+регулярка;Ресивер сжатого воздуха V=500 л., установленного на винтовом компрессоре SPINNE.5.508-270ST, инв. № 65017;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-775174-2026
